I believe in America.                                                                 --- Acredito na América.
- Are you a dance judge or something?                                                 --- - És algum júri de dança, ou quê?
Take a walk and do your job.                                                          --- Vai dar uma volta pelo recinto; faz o teu trabalho.
Sandra, watch the kids.                                                               --- Sandra, vá lá, faz-me um favor, toma conta dos miúdos.
Don't let them run wild.                                                              --- Não os deixes pisar o risco.
You watch yourself, all right?                                                        --- Toma tu conta de ti, está bem?
20, 30 grand. In small bills, cash.                                                   --- 20, 30 mil, em notas pequenas, em dinheiro.
In that little silk purse.                                                            --- Naquela bolsinha de seda.
If this were somebody else's wedding...                                               --- Meu Deus. Se fosse o casamento de outra pessoa...
Sfortunato!                                                                           --- Infeliz!
Hey, Paulie!                                                                          --- Paulie!
I got two gabagool, capocol, and a prosciut.                                          --- Tenho dois salames, enchidos de porco, e um presunto.
Stupid jerk!                                                                          --- Idiota estúpido!
What's the matter?                                                                    --- Que se passa?
- Have to go back to work.                                                            --- - Tenho de voltar ao trabalho.
- Tom.                                                                                --- - Tom.
No Sicilian can refuse any request on his daughter's wedding day.                     --- Faz parte do casamento. Nenhum siciliano pode recusar qualquer pedido no dia do casamento da filha dele.
Don Corleone, I'm honored and grateful that you have invited me.                      --- Don Corleone, sinto-me honrado e grato por me ter convidado para a sua casa.
Get out of here!                                                                      --- Que é isto? Saiam daqui!
It's a private party.                                                                 --- É uma festa particular.
Go on!                                                                                --- Vão-se embora!
What is it?                                                                           --- O que é?
It's my sister's wedding.                                                             --- É o casamento da minha irmã.
Goddamn FBI don't respect nothing!                                                    --- Maldito FBI que não respeita nada!
Come here, come here, come here!                                                      --- Venha cá, venha cá, venha cá, venha cá, venha cá, venha cá!
But towards the end, he was paroled to help with the American war effort, so for six months he's worked in my pastry shop. --- ... mas no final, ele foi libertado para ajudar o esforço de guerra americano, por isso, nos últimos 6 meses, ele tem trabalhado na minha pastelaria.
Nazorine, what can I do for you?                                                      --- Nazorine, meu amigo, em que te posso ser útil?
Now that the war is over, this boy, Enzo, they want to repatriate him back to Italy.  --- Agora que a guerra acabou, este rapaz, o Enzo, querem repatriá-lo para Itália.
Godfather, I have a daughter.                                                         --- Padrinho, tenho uma filha.
You see, she and Enzo...                                                              --- Ela e o Enzo...
You want Enzo to stay in this country, and your daughter to be married.               --- Queres que o Enzo fique neste país e queres que a tua filha se case.
You understand everything.                                                            --- Compreende tudo.
Mr.                                                                                   --- Sr.
Hagen.                                                                                --- Hagen.
Thank you.                                                                            --- Obrigado.
Wait till you see the wedding cake I made for your daughter!                          --- Espere até ver o lindo bolo de noiva que fiz para a sua filha! Deste tamanho!
The bride, the groom and the angel...                                                 --- A noiva, o noivo e o anjo...
- Who should I give this job to?                                                      --- - A quem devo dar este trabalho?
- Not to our paisan.                                                                  --- - Ao nosso compadre, não.
Give it to a Jew Congressman in another district.                                     --- Dá-o a um congressista judeu de outra comarca.
Who else is on the list?                                                              --- Quem mais está na lista?
Hey, Michael!                                                                         --- Olá, Michael!
He's not on the list, but Luca Brasi wants to see you.                                --- Ele não está na lista, mas o Luca Brasi quer falar consigo.
Is this necessary?                                                                    --- Tem mesmo de ser?
He didn't expect to be invited to the wedding, so he wanted to thank you.             --- Ele não esperava ser convidado para o casamento, por isso quer agradecer-lhe.
Don Corleone, I'm honored and grateful that you have invited me on the wedding day of your daughter. --- Don Corleone, sinto-me honrado e grato por ter-me convidado para a sua casa, no dia do casamento da sua filha.
May their first child be a masculine child.                                           --- Que o primeiro filho deles seja um rapaz.
Michael...                                                                            --- Michael...
That man over there is talking to himself.                                            --- Aquele homem ali está a falar sozinho.
See that scary guy over there?                                                        --- Vês ali aquele tipo assustador?
- He's a very scary guy.                                                              --- - É um tipo muito assustador.
- What's his name?                                                                    --- - Quem é ele? Como se chama?
His name is Luca Brasi.                                                               --- Chama-se Luca Brasi.
He helps my father out sometimes.                                                     --- De vez em quando, ajuda o meu pai.
Michael, he's coming over here!                                                       --- Michael, espera... Ele vem para aqui!
You look terrific!                                                                    --- Estás estupendo!
My brother Tom Hagen, Miss Kay Adams.                                                 --- O meu irmão Tom Hagen, a Menina Kay Adams. - Como está?
Your father's been asking for you.                                                    --- O teu pai já perguntou por ti.
- Very nice to meet you.                                                              --- - Muito prazer em conhecê-la.
- Nice to meet you.                                                                   --- - O prazer é meu.
Why does your brother have a different name?                                          --- Se ele é teu irmão, por que tem um nome diferente?
My brother Sonny found Tom Hagen in the street.                                       --- Quando o meu irmão Sonny era miúdo, encontrou o Tom Hagen na rua.
He had no home, so my father took him in.                                             --- E ele não tinha casa, por isso o meu pai ficou com ele.
He's been with us ever since.                                                         --- Desde então ficou a viver connosco.
He's a good lawyer.                                                                   --- É um bom advogado.
Not a Sicilian.                                                                       --- Não é siciliano.
I think he's going to be consigliere.                                                 --- Acho que vai ser Consigliere.
- What's that?                                                                        --- - Que é isso?
- That's a, like a counselor, an advisor.                                             --- - É... como um consultor, um conselheiro.
Very important for the family.                                                        --- É muito importante para a família.
You like your lasagna?                                                                --- Gostas da tua lasagna?
Don Corleone.                                                                         --- Don Corleone.
I'm honored and grateful that you have invited me to your daughter's wedding.         --- Sinto-me honrado e grato por ter-me convidado para o casamento da sua filha.
On the day of your daughter's wedding.                                                --- No dia do casamento da sua filha.
And I hope that their first child will be a masculine child.                          --- E espero que o primeiro filho deles seja um rapaz.
I pledge my ever-ending loyalty.                                                      --- Garanto a minha lealdade eterna.
- For your daughter's bridal purse.                                                   --- Para o dote da sua filha.
- Thank you, Luca. Most valued friend.                                                --- Obrigado, Luca, o meu mais estimado amigo.
Don Corleone, I'm going to leave you now, because I know you're busy.                 --- Don Corleone, vou deixá-lo agora, porque sei que está ocupado.
Thank you.                                                                            --- Obrigado.
Signora Corleone!                                                                     --- Signora Corleone!
No!                                                                                   --- Não! Não!
Senator Cauley apologized for not coming, but said you'd understand.                  --- O Senador Cauley pede desculpa por não vir pessoalmente, mas disse que o senhor entenderia.
Also some of the judges.                                                              --- Também alguns dos juízes.
They've all sent gifts.                                                               --- Todos mandaram presentes..
What is that outside?                                                                 --- Que se passa lá fora?
Johnny!                                                                               --- Johnny!
Johnny!                                                                               --- Johnny! Johnny!
I love you!                                                                           --- Adoro-te!
He came all the way from California.                                                  --- Ele veio da Califórnia para vir ao casamento.
I told you he'd come!                                                                 --- Eu disse-te que ele viria!
- He's probably in trouble again.                                                     --- Já se passaram 2 anos. Provavelmente está metido em sarilhos outra vez.
- He's a good godson.                                                                 --- É um bom afilhado.
Johnny, Johnny!                                                                       --- Johnny, Johnny!
Sing a song!                                                                          --- Canta uma canção!
You never said you knew Johnny Fontane!                                               --- Nunca me disseste que conhecias Johnny Fontane!
- Sure.                                                                               --- - Claro.
You want to meet him?                                                                 --- Queres conhecê-lo?
- Great!                                                                              --- - Óptimo!
Sure.                                                                                 --- Claro.
- My father helped him with his career.                                               --- - O meu pai ajudou-o na carreira dele.
- He did?                                                                             --- - Ajudou?
How?                                                                                  --- Como?
- Let's listen to this song.                                                          --- - Ouçamos a canção.
- Michael...                                                                          --- - Michael...
Please, Michael.                                                                      --- Por favor, Michael.
Tell me.                                                                              --- Conta-me.
When Johnny was starting out, he was signed to a personal service contract with a big bandleader. --- Quando o Johnny se lançou, assinou um contrato exclusivo com um líder de uma grande banda.
And as his career got better and better, he wanted to get out of it.                  --- À medida que a carreira dele melhorava, ele queria rescindir o contrato.
Johnny is my father's godson.                                                         --- O Johnny é afilhado do meu pai.
My father went to see this bandleader.                                                --- E o meu pai foi falar com este líder da banda.
He offered him$ 10, 000 to let Johnny go, but the bandleader said no.                 --- Ofereceu-lhe$10. 000 para libertar o Johnny, mas o líder da banda recusou.
So the next day my father went to see him, but this time with Luca Brasi.             --- Então, no dia seguinte, o meu pai foi falar com ele, só que desta vez com o Luca Brasi.
Within an hour, he signed a release for a certified check of$ 1, 000.                 --- No espaço de uma hora, assinou a rescisão do contrato por um cheque visado no valor de mil dólares.
- How did he do that?                                                                 --- Como conseguiu ele isso?
- Made him an offer he couldn't refuse.                                               --- O meu pai fez-lhe uma oferta irrecusável.
- What was that?                                                                      --- Que oferta?
- Luca Brasi held a gun to his head, and father said that either his brains or his signature would be on the contract. --- Luca Brasi apontou-lhe uma arma à cabeça, e o meu pai garantiu-lhe que ou os miolos ou a assinatura dele ficariam no contrato.
That's a true story.                                                                  --- É uma história verídica.
That's my family, Kay. It's not me.                                                   --- Isto é a minha família, Kay.
Beautiful!                                                                            --- Lindo!
I' ll take care of it.                                                                --- Eu trato disso.
Tom...                                                                                --- Tom...
I want you to find Santino.                                                           --- Quero que descubras o Santino.
Tell him to come to the office.                                                       --- Diz-lhe para vir ao escritório.
How are you, Fredo?                                                                   --- Como estás, Fredo? Fredo?
My brother Fredo, this is Kay Adams.                                                  --- O meu irmão Fredo, é a Kay Adams.
- Hi.                                                                                 --- - Olá.
- How are you doing?                                                                  --- - Como estás?
- This is my brother Mike.                                                            --- - É o meu irmão Mike.
- Are you having a good time?                                                         --- - Estás a divertir-te? Sim.
Yeah. This is your friend?                                                            --- É tua amiga?
I don't know what to do.                                                              --- Não sei o que fazer.
My voice is weak.                                                                     --- A minha voz está fraca.
It's weak.                                                                            --- Está fraca.
Anyway, if I had this part in the picture, it puts me right back on top again.        --- De qualquer modo, se eu tivesse este papel no filme, sabe... voltava a pôr-me na ribalta.
But this... man won't give it to me, the head of the studio.                          --- Mas aquele... aquele homem, o chefe do estúdio, não mo dá.
- What's his name?                                                                    --- - Como se chama ele? - Woltz.
- Woltz.                                                                              --- Woltz.
He won't give it to me, and he says there's no chance.                                --- Ele não mo dá e diz que não há hipótese. Não há hipótese.
Sonny?                                                                                --- Sonny?
Sonny?                                                                                --- Sonny?
Sonny?                                                                                --- Sonny?
- Sonny, are you in there?                                                            --- Sonny, estás aí dentro? - O que é?
- What? The old man wants you.                                                        --- - O velho quer falar contigo.
One minute.                                                                           --- Sim. Um minuto.
A month ago he bought the movie rights to this book, a best-seller.                   --- Há um mês, ele comprou os direitos do livro para fazer o filme.
The main character is a guy just like me.                                             --- A personagem principal é um tipo como eu.
I wouldn't even have to act.                                                          --- Eu nem teria de representar. Bastar-me-ia ser eu próprio.
Godfather, I don't know what to do.                                                   --- Mas, Padrinho, não sei o que fazer, não sei o que fazer.
You can act like a man!                                                               --- Podes agir como um homem!
What's the matter with you?                                                           --- Que se passa contigo?
Is this how you turned out?                                                           --- Foi assim que ficaste?
A Hollywood finocchio that cries like a woman?                                        --- Um fantoche de Hollywood que chora como uma mulher?
" What can I do?                                                                      --- Que posso eu fazer?
What can I do?" What is that nonsense?                                                --- Que posso eu fazer? Que disparate é esse?
Ridiculous.                                                                           --- Ridículo.
- You spend time with your family?                                                    --- Passas algum tempo com a tua família?
- Sure I do.                                                                          --- - Claro que sim.
Good.                                                                                 --- - Óptimo.
Because a man who doesn't spend time with his family can never be a real man.         --- Porque um homem que não passa tempo com a família nunca poderá ser um homem a sério.
You look terrible.                                                                    --- Estás horrível.
I want you to eat.                                                                    --- Quero que comas.
Rest, and in a month this Hollywood big shot will give you what you want.             --- Quero que descanses bem e, daqui a um mês, esse... manda-chuva de Hollywood dar-te-á o que queres.
It's too late, they start shooting in a week.                                         --- É tarde de mais. Começam a filmar dentro de uma semana.
I'm going to make him an offer he can't refuse.                                       --- Vou fazer-lhe uma oferta irrecusável.
Just go outside and enjoy yourself, and forget about all this nonsense.               --- Agora, vai lá para fora e diverte-te. Esquece todas essas tolices.
- I want you to leave it all to me. - All right.                                      --- - Quero que deixes tudo nas minhas mãos.
- What time does my daughter leave?                                                   --- A que horas sai a minha filha com o noivo?
- Soon, after they cut the cake.                                                      --- Dentro de minutos, logo a seguir a cortarem o bolo.
Do we give your son-in-law something important?                                       --- Damos algo importante ao seu novo genro?
Never.                                                                                --- Nunca.
Give him a living, but never discuss the family business with him.                    --- Dêem-lhe um ordenado, mas nunca discutam o negócio da família com ele.
- What else?                                                                          --- - Que mais?
- Virgil Sollozzo called.                                                             --- - Virgil Sollozzo telefonou.
- We'll have to see him next week.                                                    --- Vamos ter de dar-lhe um dia da próxima semana.
- When you come back from California.                                                 --- Falaremos dele quando voltares da Califórnia.
- When am I going to California?                                                      --- - Quando vou para a Califórnia? - Quero que vás esta noite.
- Tonight. I want you to talk to this movie big shot and settle this business for Johnny. --- Quero que fales com esse manda-chuva do cinema e resolvas este assunto pelo Johnny.
If there's nothing else, I'd like to go to my daughter's wedding.                     --- Se não houver mais nada, gostaria de ir ao casamento da minha filha.
Carlo, we're going to take the picture.                                               --- Carlo, vamos tirar uma fotografia.
Wait a minute.                                                                        --- Espere um minuto.
No, Michael.                                                                          --- Não, Michael.
Not me.                                                                               --- Eu não.
Okay, that's it.                                                                      --- Pronto, já está.
Just like that.                                                                       --- Assim mesmo. Quietos!
- You need a little more heat on that arc.                                            --- - Necessitas de mais calor nesse arco.
- Start talking.                                                                      --- - Pronto...
I was sent by a friend of Johnny Fontane.                                             --- Comece a falar. Fui enviado por um amigo do Johnny Fontane.
This friend would give his friendship to Mr.                                          --- Este amigo é meu cliente, e daria ao Sr. Woltz a sua amizade eterna, se o Sr.
Woltz, if Mr. Woltz would grant us a favor.                                           --- Woltz nos concedesse um pequeno favor.
Woltz is listening.                                                                   --- O Woltz está a ouvir.
Give Johnny the part in that war film you're starting next week.                      --- Dê ao Johnny o papel naquele filme de guerra que vai começar na próxima semana.
And what favor would your friend grant Mr.                                            --- E... Que favor concederia o seu amigo ao Sr.
Woltz?                                                                                --- Woltz?
He could make your future union problems disappear.                                   --- Vai ter alguns problemas com o sindicato. O meu cliente pode fazê-los desaparecer.
And one of your stars has just moved from marijuana to heroin.                        --- Também uma das suas estrelas principais passou da marijuana para a heroína.
Are you trying to muscle me?                                                          --- - Está a tentar medir forças comigo? - Nem pensar.
Listen, you son-of-a- bitch!                                                          --- - Vim prestar um serviço a um amigo. - Ouça, seu sacana fala-barato!
Let me lay it on the line.                                                            --- Deixe-me dizer-lhe uma coisa, a si e ao seu chefe, seja ele quem for.
Johnny Fontane will never get that movie!                                             --- Johnny Fontane nunca entrará neste filme!
No matter how many Dago Guinea greaseballs come out of the woodwork!                  --- Não me interessa quantos latinos mestiços possam vir falar a favor dele.
- I'm German- Irish.                                                                  --- - Sou germano-irlandês.
- Listen here, my Kraut- Mick friend.                                                 --- - Vou dizer-lhe uma coisa, meu amigo.
- I'm going to make trouble for you! - I'm a lawyer.                                  --- Vou dar-lhe um tratamento tal, que não saberá o que lhe aconteceu.
I haven't threatened...                                                               --- Sr. Woltz, eu sou advogado; não o ameacei.
I know New York's big lawyers.                                                        --- Conheço quase todos os advogados bons de Nova lorque.
Who are you?                                                                          --- Quem é você?
I have a special practice.                                                            --- Tenho uma especialidade rara.
I handle one client.                                                                  --- Trabalho para um só cliente.
I' ll wait for your call.                                                             --- Agora tem o meu telefone; fico a aguardar a sua chamada.
By the way, I admire your pictures very much.                                         --- A propósito, sou um grande admirador dos seus filmes.
Check him out.                                                                        --- Investiga-o.
- It's really beautiful.                                                              --- - É muito bonito.
- Look at this.                                                                       --- - Veja isto.
- It used to decorate a King's palace.                                                --- Dantes, fazia parte da decoração do palácio de um rei. Pois...
- Very nice.                                                                          --- Muito bonito.
Why didn't you say you work for Corleone?                                             --- Tom, por que não disse que trabalha para o Corleone?
I thought you were some cheap hustler Johnny was running in.                          --- Pensei que fosse algum fura-vidas enviado pelo Johnny para fazer chantagem comigo.
- I only use his name when necessary.                                                 --- Não gosto de usar o nome dele, a menos que seja indispensável.
- How's your drink? - Fine.                                                           --- - Como está a sua bebida, Tom?
- Now I' ll show you something beautiful.                                             --- - Boa. Venha aqui comigo, quero mostrar-lhe algo mesmo belo.
You do appreciate beauty, don't you?                                                  --- Aprecia a beleza, certo?
There you are.$600, 000 on four hoofs.                                                --- Aqui o tem...$600 mil sobre quatro patas.
I bet Russian czars never paid that for a single horse.                               --- Aposto que os czares russos nunca pagaram tanto dinheiro por um só cavalo.
Khartoum.                                                                             --- Khartoum.
Khartoum.                                                                             --- Khartoum.
I'm not going to race him, though.                                                    --- Não vou correr com ele.
I'm going to put him out to stud.                                                     --- Vou destiná-lo à reprodução.
Thanks, Tony.                                                                         --- - Obrigado, Tony. - De nada.
Let's get something to eat.                                                           --- Vamos comer qualquer coisa?
Corleone is Johnny's godfather.                                                       --- Corleone é o padrinho do Johnny.
To the Italian people that's a very sacred, close relationship.                       --- Para os italianos, é uma relação muito religiosa, sagrada e íntima.
I respect it.                                                                         --- Respeito isso.
Tell him to ask me anything else.                                                     --- Diga-lhe que pode pedir-me qualquer outra coisa.
This favor I can't give him.                                                          --- Mas não posso fazer esse favor.
He never asks a second favor when he's been refused the first.                        --- Ele nunca pede um segundo favor quando lhe recusam o primeiro, percebe?
You don't understand.                                                                 --- Não entende.
Johnny Fontane never gets that movie.                                                 --- Johnny Fontane nunca entrará naquele filme.
That part is perfect for him.                                                         --- Aquele papel é perfeito para ele.
It'll make him a big star.                                                            --- Fará dele uma grande estrela.
I'm going to run him out of the business, and let me tell you why.                    --- Vou tirá-lo do ramo e permita-me dizer-lhe porquê!
Johnny Fontane ruined one of Woltz International's most valuable protégés.            --- Johnny Fontane arruinou a Woltz International no que respeita a uma das suas protegidas mais valiosas.
We trained her for five years.                                                        --- Durante 5 anos, treinámo-la:
Singing, acting, dancing lessons.                                                     --- Aulas de canto, de representação, de dança.
I spent hundreds of thousands of dollars on her, to make her a big star.              --- Gastei centenas de milhares de dólares com ela. Ia torná-la uma grande estrela.
Let me be even more Frank. To show you that I'm not a hard-hearted man. That it's not all dollars and cents. --- E vou ser ainda mais franco, só para lhe mostrar que não sou insensível.
She was beautiful.                                                                    --- Ela era linda!
She was young and innocent!                                                           --- Era jovem! Era inocente!
She's the greatest piece of ass I' ve had and I' ve had them all over the world.      --- Foi o maior borracho que jamais tive, e tive muitos por todo o mundo!
Then Johnny Fontane comes along with his olive oil voice and Guinea charm.            --- E depois aparece o Johnny Fontane com a sua voz doce e o seu encanto de mestiço.
And she runs off.                                                                     --- E ela foge.
She threw it all away just to make me look ridiculous!                                --- Ela desprezou tudo, só para me ridicularizar!
And a man in my position can't afford to be made to look ridiculous!                  --- E um homem com a minha posição não se pode dar ao luxo de parecer ridículo!
You get the hell out of here!                                                         --- Agora, vá-se embora!
If that goombah tries any rough stuff, tell him I'm no bandleader.                    --- E se esse engraçadinho tentar algum truque, diga-lhe que não sou líder de banda alguma.
Yeah, I heard that story.                                                             --- Sim. Já ouvi essa história.
Thank you for dinner and a very pleasant evening.                                     --- Obrigado pelo jantar e por uma noite muito agradável.
Maybe your car can take me to the airport.                                            --- Talvez pudesse levar-me no seu carro até ao aeroporto. O Sr.
Mr. Corleone insists on hearing bad news immediately.                                 --- Corleone é um homem que insiste em saber logo as más notícias.
- You're not too tired, are you, Tom?                                                 --- - Não estás demasiado cansado, Tom?
- No, I slept on the plane.                                                           --- - Não. Dormi no avião.
I have the Sollozzo notes here.                                                       --- Tenho aqui os dados sobre o Sollozzo.
Now...                                                                                --- Vejamos...
Sollozzo is known as The Turk.                                                        --- Sollozzo é conhecido como o Turco.
He's supposed to be very good with a knife, but only in matters of business with reasonable complaint. --- Dizem que sabe manejar muito bem uma faca, mas só em questões de negócio com algum tipo de queixa fundamentada.
