Mumbai, 2006                                                                          --- Bombaim, 2006
A little electricity will loosen his tongue, give him.                                --- Um pouco de electricidade vai soltar-lhe a língua.
Yes sir.                                                                              --- Sim senhor.
So, were you wired up?                                                                --- Então, estavas ligado?
Mobile phone or a pager?                                                              --- Telemóvel ou um pager?
Or coughing accomplice in the audience?                                               --- Ou um cúmplice que tossia na audiência?
Or microchip under your skin, huh?                                                    --- ou um chip debaixo da pele, huh?
The chip is not here.                                                                 --- O chip não está aqui.
Not here?                                                                             --- Não está?
Ok, leave it.                                                                         --- Ok, deixa estar.
It's hot, and my wife is giving me hell.                                              --- Está calor, e a minha mulher não para de me chatear.
I've got a desk full of murderers, rapists, extortionists, bomb bandits, and you.     --- Tenho a secretária cheia de homicidas, violadores, extorcionistas, bombistas, e tu.
So why don't you save us both a lot of time and tell me how you cheated.              --- Por isso porque é que não nos poupas tempo e me dizes como fizeste batota.
I'm done sir.                                                                         --- Terminei senhor.
Now listen.                                                                           --- Agora ouve-me.
Hello!                                                                                --- Olá!
He's is unconscious, chutiya.                                                         --- Ele está inconsciente, chutiya.
What good is that?                                                                    --- De que me serve isso?
How many times have I told you, you should once... I'm sorry sir.                     --- Quantas vezes te disse que deves... Desculpe senhor.
Now we'll have Amnesty International here peeing in their pants about human rights.   --- Agora vamos ter aqui a Amnistia Internacional a mijarem as calças sobre os direitos humanos
Sir I was thinking...                                                                 --- Senhor, eu pensei que...
Get him down, tidy him up please.                                                     --- Tira-o dali e arranja-o.
For God's sake!                                                                       --- Por amor de Deus!
Sir, what if he did know whe answers?                                                 --- Senhor, e se ele não soubesse as respostas?
Professors, doctors, lawyers, general knowledge-wallas never get beyond 60000 rupees. --- Professores, médicos, advogados, pessoas com muita cultura geral nunca passam das 60.000 rupias.
He's on 10 million.                                                                   --- Ele está nos 10 milhões!
What can a slumdog possibly know?                                                     --- O que pode um slumdog (cão da favela) saber?
The answers.                                                                          --- 
I knew the answers.                                                                   --- 
Slumdog Millionaire.                                                                  --- Slumdog Millionaire.
Jamal, catch it!                                                                      --- Jamal, apanha-a!
Jamal, it's yours!                                                                    --- É tua, Jamal!
How did you manage to drop a sitter like that, damn it?                               --- Como é que deixaste cair essa merda?
Private ka-land!                                                                      --- Zona privada!
Catch him!                                                                            --- Apanha-o!
The dogs are coming!                                                                  --- Os cães vêem aí!
Run!                                                                                  --- Foge!
If the planes won't kill you, we will!                                                --- Se os aviões não vos matarem, matamos-vos nós!
Hey brother!                                                                          --- Hey irmão!
Sorry!                                                                                --- Desculpe!
I'm very sorry.                                                                       --- Peço imensa desculpa.
Oh shit, it's Mum.                                                                    --- Oh merda, é a mãe.
You want me to wallop you to death, huh?                                              --- Queres que te bata até morreres, huh?
Brother, leave these two to me.                                                       --- Irmão, deixa estes dois comigo.
Come on.                                                                              --- Anda.
Athos.                                                                                --- Athos.
The Three Musketeers.                                                                 --- Os Três Mosqueteiros.
Repeat it!                                                                            --- Repete!
"You have sent for me, Sir?" said Athos.                                              --- "O senhor mandou chamar-me?" disse Athos.
Ah, here come our very own musketeers.                                                --- Ah, aí estão os nossos mosqueteiros.
Thank you for gracing us all with your presence.                                      --- Obrigado por nos gracejarem com a vossa presença.
Porthos!                                                                              --- Porthos!
Well, open it, Salim.                                                                 --- Bem, abre-o, Salim.
Stop doing that and open the book, Jamal.                                             --- Para de fazer isso e abre o livro, Jamal.
Athos?                                                                                --- Athos?
So...                                                                                 --- Então...
Mr.                                                                                   --- Mr.
Malik the man who knows all the answers.                                              --- Malik o homem que sabe todas as respostas.
Talk.                                                                                 --- Fala.
Talk!                                                                                 --- Fala!
So Jamal, are you ready for the first question, for 1000 rupees?                      --- Então Jamal, está preparado para a primeira pergunta, por 1.000 rupias?
Yes.                                                                                  --- Sim.
Not bad money to sit on a chair and answer a question.                                --- Nada mau para se sentarmos numa cadeira e responder a uma pergunta.
Better than making tea, no?                                                           --- Melhor que fazer chá, não?
No.                                                                                   --- Não.
Yes.                                                                                  --- Sim.
No.                                                                                   --- Não.
No?                                                                                   --- Não?
Yes?                                                                                  --- Sim?
No?                                                                                   --- Não?
Is that your final answer?                                                            --- É essa a sua resposta final?
So remember.                                                                          --- Lembra-se.
You have three lifelines.                                                             --- Você tem três ajudas.
Ask the audience, fifty-fifty and call a friend.                                      --- pedir ajuda à audiência, 50-50 e telefonar a um amigo.
So the first question, for 1000 rupees, here we go.                                   --- A primeira pergunta para 1.000 rupias. Vamos começar.
Who was the star in the 1973 hit-film "Zanjeer"?                                      --- Quem foi a estrela do filme de grande sucesso, de 1973, "Zanjeer"?
I'm in trouble, here...                                                               --- Estou com um problema aqui...
Here...                                                                               --- Toma...
Money.                                                                                --- Dinheiro.
Take the money...                                                                     --- Leva o dinheiro...
Get out of there, Jamal.                                                              --- Sai daí, Jamal.
Prakash wants a big one.                                                              --- O Prakash quer dar uma grande.
Not finished.                                                                         --- Ainda não terminei.
Stop your time-pass boys.                                                             --- Rapazes, parem com o vosso passatempo.
This is urgent... It's a shy one... and since when there is a time limit on a crap?   --- E desde quando é que existe um limite de tempo para cagar?
This is borderline kid.                                                               --- Já estou no limite miúdo.
Get a move on...                                                                      --- Mexe-te...
Since there was a customer waiting, that's when Jamal!                                --- Desde que temos um cliente à espera, Jamal!
Give me the money back!                                                               --- Devolve-me o dinheiro!
Give!                                                                                 --- 
I'll go elsewhere.                                                                    --- Eu vou a outro lado.
Bloody idiot.                                                                         --- Idiota estúpido.
You just lost me a bloody customer.                                                   --- Fizeste-me perder a merda de um cliente.
Amitabh's helicopter!                                                                 --- O helicóptero do Amitabh!
That's Amitabh's helicopter!                                                          --- É o helicóptero do Amitabh!
Amitabh!                                                                              --- Amitabh!
Amitabh Bachchan!                                                                     --- Amitabh Bachchan!
Salim, open it!                                                                       --- Abre, Salim!
Amitabh Bachchan!                                                                     --- Amitabh Bachchan!
My Amitabh sir!                                                                       --- Meu senhor Amitabh!
Move, move!                                                                           --- Mexe-te, mexe-te!
Out of the way!                                                                       --- Sai do caminho!
Please wait, I am coming for you!                                                     --- Por favor espera, estou quase a chegar!
Amitabh sir, please give me your autograph                                            --- Senhor Amitabh, por favor dê-me o seu autógrafo.
You've got it now have you?                                                           --- 
Amitabh's autograph?                                                                  --- Um autógrafo do Amitabh's?
That was my autograph!                                                                --- Era o meu autógrafo!
Amitabh gave it to me!                                                                --- Foi o Amitabh que me deu!
I'll never get another!                                                               --- Nunca vou conseguir outro!
He offered a good price, so I sold it.                                                --- Ele ofereceu um bom preço por isso vendi.
But it was mine...                                                                    --- Mas era meu...
A, Amitabh Bachchan.                                                                  --- A, Amitabh Bachchan.
Guess what, you're right.                                                             --- Adivinha, Acertaste.
You just won 1,000 rupees.                                                            --- Acabas de ganhar 1.000 rupias.
You don't have to be a genius.                                                        --- Não é preciso ser um génio.
I knew it was Amitabh Bachchan.                                                       --- Eu sabia que era Amitabh Bachchan.
Like I said, you do not have to be a genius.                                          --- Como eu disse, não é preciso ser um génio.
He's the most famous man in India.                                                    --- Ele é o homem mais famoso da Índia.
A picture of three lions, as seen on the national emblem of India.                    --- No desenho dos três leões, que está na bandeira nacional da Índia
What is written underneath?                                                           --- O que se encontra escrito por baixo?
A: The truth alone triumphs                                                           --- A: Só a verdade vence
B: Lies alone triumph                                                                 --- B: Só as mentiras vencem
C: Fashion alone triumphs                                                             --- C: Só a moda vence
D: Money alone triumphs                                                               --- D: Só o dinheiro vence
What do you think, Jamal?                                                             --- Que pensa, Jamal?
The most famous phrase of our country.                                                --- A frase mais famosa do nosso país.
Do you like to call a friend?                                                         --- Quer telefonar a um amigo?
Ask the audience.                                                                     --- Perguntar à audiência.
Who'd put him out of his misery, ladies and gentlemen?                                --- Quem é que acaba com a miséria dele, senhoras e senhores?
My five-year old daughter can answer that question, but you couldn't.                 --- A minha filha de 5 anos sabe a resposta desta pergunta, mas tu não sabias.
That's strange for a millionaire genius.                                              --- É estranho para um génio milionário.
What happened?                                                                        --- O que se passou?
Your accomplice sneaked out for a piss?                                               --- O teu cúmplice saiu para mijar?
The inspector is asking something.                                                    --- O inspector está a fazer-te uma pergunta.
How much is panipuri at Dharisha store on Chowpatty?                                  --- Quanto custa um panipuri na loja Dharisha em Chowpatty?
What?                                                                                 --- O quê?
Panipuri.                                                                             --- Panipuri.
One plate.                                                                            --- Um prato.
How much?                                                                             --- Quanto é?
- 10 rupees.                                                                          --- - 10 rupias.
- Wrong.                                                                              --- - Errado.
15 since Diwali.                                                                      --- 15 desde Diwali (feriado religioso).
Who stole Constable Varmy's bicycle outside Santa Cruz station last Thursday?         --- Quem roubou a bicicleta da Constable Varmy à saída da estação de Santa Cruz na última quinta-feira?
You know who that was?                                                                --- Tu sabes quem foi?
Everyone in Juhu knows that.                                                          --- Toda a gente Juhu sabe.
Even five year olds.                                                                  --- Até crianças de 5 anos.
Congratulations, Jamal.                                                               --- Parabéns, Jamal.
You just won 4,000 rupees.                                                            --- Acabou de ganhar 4,000 rupias.
A 16 thousand rupees.                                                                 --- Para 16.000 rupias.
Religion.                                                                             --- Religião.
Interesting.                                                                          --- Interessante.
In depictions of God Rama he is famously holding what in his right hand?              --- Nas representações do Deus Rama o que é ele famoso de segurar na mão direita?
Run!                                                                                  --- Fujam!
Salim, Jamal!                                                                         --- Salim, Jamal!
Run!                                                                                  --- Fujam!
They're Muslims, get them!                                                            --- Apanhem-nos, são muçulmanos!
Get a move on!                                                                        --- Rápido, mexe-te!
Come with us!                                                                         --- Vem connosco!
Hey, get lost!                                                                        --- Hey, desaparece!
Are you deaf?                                                                         --- 
I said piss off!                                                                      --- 
Come with us.                                                                         --- Vem connosco.
I wake up every morning wishing I did not know the answer to that question.           --- Acordo todas as manhãs a desejar não conhecer a resposta aquela pergunta.
If it wasn't for Rama and Allah... I would still have a mother.                       --- Se não fosse Rama e Allah... Eu ainda teria mãe.
A bow and arrow.                                                                      --- O arco e uma flecha.
Final answer?                                                                         --- É a sua resposta final?
Final answer.                                                                         --- Resposta final.
Computer, please check answer D.                                                      --- Computador, bloqueia a resposta D.
You just won 16000 rupees.                                                            --- Acabou de ganhar 16.000 rupias.
Well done, my friend.                                                                 --- Muito bem, meu amigo.
Time for commercial break.                                                            --- É tempo para um intervalo.
Don't go away now.                                                                    --- Não se vá embora.
You got lucky, huh?                                                                   --- Teve sorte, huh?
If I were you I'd take the money and run.                                             --- Se fosse a ti pegava no dinheiro e ia me embora.
You're not going to the next one.                                                     --- Não vai conseguir na próxima.
Piss off!                                                                             --- Desaparece!
She'll have the security guard on us!                                                 --- Ela vai atrair o segurança!
Let her in.                                                                           --- Deixa a entrar.
She could be the third musketeer.                                                     --- Ela poderia ser o terceiro mosqueteiro.
I'm the elder in this family now, and I say, she's not coming in, okay?               --- Eu agora sou o mais velho desta família, e digo que ela não entra, ok?
In any case... We don't even know the name of the third bloody musketeer.             --- Seja como for... nem sequer sabemos o raio do nome do terceiro mosqueteiro.
Salim?                                                                                --- Salim?
Come over here.                                                                       --- Vem para aqui.
Where's your mother?                                                                  --- Onde está a tua mãe?
Your father?                                                                          --- O teu pai?
I'm Jamal.                                                                            --- Eu sou o Jamal.
This is my brother Salim.                                                             --- Este é o meu irmão Salim.
I'm Latika.                                                                           --- Eu sou a Latika.
You can sleep here if you want.                                                       --- Podes dormir aqui se quiseres.
Thank you Jamal.                                                                      --- Obrigado Jamal.
Welcome back to "Who Wants To Be A Milionaire?"                                       --- Bem-vindo de volta ao "Quem Quer Ser Milionário?"
Our contestant, Jamal Malik, call-center assistant from Mumbay, is on 16 thousand rupees, and has already used only one lifeline, ask the audience. --- O nosso participante, Jamal Malik, um assistente de call-center de Bombaim, Está nas 16.000 rupias, e já usou uma das ajudas, perguntar à audiência.
So my friend, you're into serious money.                                              --- Meu amigo, você pode ganhar muito dinheiro.
Shall we play?                                                                        --- Vamos jogar?
Yes.                                                                                  --- Sim.
The song "Darshan Do Ghanshyam" was written by which famous Indian poet?              --- A música "Darshan Do Ghanshyam" foi escrita por que famoso poeta indiano?
A: Surdas                                                                             --- A: Surdas
B: Tulsidas                                                                           --- B: Tulsidas
C: Mira Bai                                                                           --- C: Mira Bai
D: Kabir It's hot, huh?                                                               --- D: Kabir Está calor, huh?
The way he's taking care of us, he must be a good man.                                --- Da forma como ele está a tomar conta de nós, deve ser um bom homem
Must be a bloody saint                                                                --- Deve ser um raio de um santo.
We're not allowed to talk to the others.                                              --- Não somos autorizados a falar com os outros.
Why?                                                                                  --- Porquê?
If we get seconds, then he really must be a saint.                                    --- Se nos der um segundo, então é mesmo um santo.
Very good, Arvind.                                                                    --- Muito bem, Arvind.
Very good.                                                                            --- Muito bem.
Laughing at me.                                                                       --- Estás a rir-te de mim.
I'll kill you.                                                                        --- Eu mato-te.
Hey, get off her.                                                                     --- Hey, solta-a.
Don't touch me!                                                                       --- Não me toques!
You fat bastard!                                                                      --- Cabrão gordo!
You big tree!                                                                         --- Sua grande árvore!
Punnoose, I think you've found your dog.                                              --- Punnoose, acho que encontraste o teu cão.
Okay, time to go.                                                                     --- Ok, está na altura.
Get to work.                                                                          --- Vai trabalhar.
Think you're here for a picnic?                                                       --- Pensam que estão aqui para um piquenique?
What do you think this is, a holiday?                                                 --- O que pensam que é isto, umas férias?
And what are you laughing at?                                                         --- E estás a rir-te do quê?
Give me that.                                                                         --- Dá me isso.
Shut up!                                                                              --- Cala-te!
Brother Salim.                                                                        --- Irmão Salim.
What's up little brother, you got a problem?                                          --- Que foi irmãozinho, tens algum problema?
Hey take her.                                                                         --- Hey pega nela.
She's yours today.                                                                    --- Ela é tua por hoje.
I don't want her.                                                                     --- Mas eu não a quero.
Take her.                                                                             --- Pega nela.
It's for your own good.                                                               --- É para o teu bem.
Babies earn double.                                                                   --- Bebés ganham a dobrar.
She said she doesn't want her.                                                        --- Ela disse que não a quer.
Shut it Jamal!                                                                        --- Cala-te Jamal!
Take her now or i'll drop her.                                                        --- Pega nela agora ou eu deixo-a cair.
Keep her crying, and you'll earn triple.                                              --- Mantém-na a chorar e vais ganhar a triplicar.
Come on!                                                                              --- Vamos!
Get to work!                                                                          --- Vão trabalhar!
We'll use the hottest ones.                                                           --- Vamos usar as mais picantes.
Chillies on his willy!                                                                --- 
I'll get you back!                                                                    --- Eu vou-te apanhar!
Go back to sleep all of you!                                                          --- Voltem todos para a cama!
Very good.                                                                            --- Muito bem.
I am happy.                                                                           --- Estou satisfeito.
He's ready.                                                                           --- 
- I'm ready as well.                                                                  --- - Eu também estou.
Come on, move the lamp.                                                               --- Vamos, traz-me a lâmpada.
Okay.                                                                                 --- Ok.
Bring Jamal over.                                                                     --- Traz-me o Jamal.
Listen, kid.                                                                          --- Ouve-me, miúdo.
It's decision time.                                                                   --- É tempo de decidires.
You want the life of a slumdog or the life of a man, huh?                             --- Queres a vida como um slumdog ou como um homem, huh?
A real man.                                                                           --- Um homem verdadeiro.
A gunfighter.                                                                         --- Um pistoleiro.
Your destiny is in your hands, brother.                                               --- O destino está nas tuas mãos, irmão.
You can be like me or...                                                              --- Tu podes gostar de mim, ou...
Understand?                                                                           --- Percebes?
I understand.                                                                         --- Percebo.
Go.                                                                                   --- Vai.
Get Jamal.                                                                            --- Traz o Jamal.
I just need Maman to like my singing, and we're in the money.                         --- Só preciso que o Maman goste da minha voz, e teremos dinheiro.
Big money, Latika.                                                                    --- Muito dinheiro, Latika.
And then what?                                                                        --- E depois?
Can we stop begging?                                                                  --- Podemos parar de mendigar?
Begging?                                                                              --- Mendigar?
Are you kidding?                                                                      --- Estás a brincar?
We'll live in a big house on Harbour Road.                                            --- Vamos viver numa casa grande em Harbour Road.
You, me and Salim.                                                                    --- Tu, eu e o Salim.
The Three Musketeers.                                                                 --- Os Três Mosqueteiros.
Harbour Road.                                                                         --- Harbour Road.
Really?                                                                               --- A sério?
Yes.                                                                                  --- Sim.
In the moonlight...                                                                   --- À luz da lua...
You and me.                                                                           --- Tu e eu.
You'll dance with me won't you?                                                       --- Vais dançar comigo, não vais?
I hope you sing better than you dance.                                                --- Espero que cantes melhor do que danças.
It's my turn.                                                                         --- É a minha vez.
- Sing well.                                                                          --- - Canta bem.
So this is it huh, brother?                                                           --- Então é agora huh, irmão?
The good life here we come.                                                           --- Aí vamos nós, boa vida.
Athos.                                                                                --- Athos.
Porthos?                                                                              --- Porthos?
When I say It's time to get professional.                                             --- Quando eu disser Está na altura de te tornares profissional.
What?                                                                                 --- O quê?
Really?                                                                               --- A sério?
First, let me hear that song...                                                       --- Primeiro, deixa-me ouvir aquela música...
Darshan to Ghanshyam.                                                                 --- Darshan to Ghanshyam.
That's my favourite.                                                                  --- É a minha favorita.
Fifty rupees.                                                                         --- 50 rupias.
Now I'm a professional, what can I do?                                                --- Agora sou profissional, que posso fazer?
Cheeky little bugger.                                                                 --- Raio do miúdo.
Here you go.                                                                          --- Aqui está.
Jamal, go.                                                                            --- Corre, Jamal.
Run!                                                                                  --- Foge!
Hold on!                                                                              --- Esperem!
Catch them!                                                                           --- Apanhem-nos!
Get the torches!                                                                      --- Tragam as tochas!
Get them!                                                                             --- Apanhem-nos!
Latika, run!                                                                          --- Corre, Latika!
Come on, Latika!                                                                      --- Vamos, Latika!
Grab his hand!                                                                        --- Agarra a minha mão!
What happened, what happened?                                                         --- O que aconteceu, o que aconteceu?
She let go!                                                                           --- Ela largou-me!
We've got to go back, brother.                                                        --- Temos de voltar, irmão.
We've got to go.                                                                      --- Temos de ir.
Go back and we're dead.                                                               --- Se voltarmos, morremos.
Have you gone mad?                                                                    --- Ficaste maluco?
He was going to take your eyes out!                                                   --- Ele ia tirar os teus olhos!
With a spoon.                                                                         --- Com uma colher.
Don't worry about her.                                                                --- Não te preocupes com ela.
She'll be fine.                                                                       --- Vai ficar bem.
She always is.                                                                        --- Ela fica sempre.
Surdas.                                                                               --- Surdas.
Surdas?                                                                               --- Surdas?
Surdas is the final answer?                                                           --- Surdas, é sua resposta final?
Yes.                                                                                  --- Sim.
Guess what, you're right!                                                             --- Adivinha, está certo!
Blind singers earn double you know that?                                              --- Cantores cegos ganham o dobro, sabia?
What happened to a girl?                                                              --- O que aconteceu à rapariga?
They blinded her too?                                                                 --- Também a cegaram?
They had other plans.                                                                 --- Eles tinham outros planos.
Well it took me a long time to find out.                                              --- Mas demorei muito tempo para descobrir.
Got to let it go.                                                                     --- Tens de a deixar ir.
Come on.                                                                              --- Vamos.
Where?                                                                                --- Onde?
- I'm starving.                                                                       --- - Estou a morrer de fome.
Get up!                                                                               --- Levanta-te!
So is it your Dad's train then?                                                       --- É o comboio do teu pai?
Is this heaven?                                                                       --- Estamos no céu?
You are not dead, Jamal.                                                              --- Não estás morto, Jamal.
What is it?                                                                           --- O que é?
Some hotel huh?                                                                       --- Um hotel huh?
The Taj Mahal is considered the finest example of modern architecture.                --- O Taj Mahal é considerado o melhor exemplo de arquitectura moderna.
...was completed around 1648 using the labour force of 20'000 workers.World Heritage Site and was cited... --- ...foi terminado por volta de 1648 com uma força de 20.000 trabalhadores.
Please take off your shoes                                                            --- Por favor tire o calçado
Please, please.                                                                       --- Se faz favor, Se faz favor.
What time is the next tour?                                                           --- A que hora é a próxima visita?
We are on tight schedule.                                                             --- Estamos num calendário apertado.
We have to see the Red Fort this afternoon.                                           --- Nós temos de visitar o Forte vermelho ainda esta tarde.
No, I...                                                                              --- Eu, não...
- Please, would it be possibló to show us up round now?                               --- - Seria possível mostrar-nos, se faz favor?
Obviously we understand that it costs more for just the two of us.                    --- Nós percebemos que possa custar mais só para nós os dois.
But of course madam!                                                                  --- Mas claro madame!
Please follow me.                                                                     --- Faça o favor de me seguir.
The Taj Mahal was built by Emperor Khurrama for his wife Mumtaz, who was the maximum beautiful woman in the world. --- O Taj Mahal foi construído pelo Imperador Khurrama para a sua mulher, Mumtaz, que era a mulher mais bonita do Mundo.
Then when she died, the emperor decided to build this five-star hotel, for everyone who would like to visit her tomb. --- Quando ela morreu, o imperador decidiu construir este hotel de 5 estrelas, para que toda a gente pudesse visitar o seu túmulo.
But he died in 1587 before any of the rooms were built, or any of the lifts.          --- Mas ele morreu em 1587 antes de qualquer dos quartos ou pisos estarem feitos.
But this swimming pool as you can see was completed on schedule in top class fashion. --- Mas, como podem ver, esta piscina foi terminada a tempo com um estilo fantástico.
Is says nothing of this in the guide book.                                            --- Não diz nada disto neste livro guia.
The guide book was written by a bunch of lazy good-for-nothing Indian beggars.        --- O livro guia foi escrito por uma cambada de calões indianos que não servem para nada.
And this lady and gentlemen is the burial place of Mumtaz.                            --- E isto, senhora e senhor, é o local de descanso da Mumtaz.
How did she die?                                                                      --- Como é que ela morreu?
A road traffic accident.                                                              --- Acidente na estrada.
- Really?                                                                             --- - A sério?
Maximum pile-up.                                                                      --- Destruição total.
I thought she died in childbirth.                                                     --- Pensava que tinha morrido a dar à luz.
Exactly sir.                                                                          --- Exacto senhor.
She was on the way to hospital when it happened.                                      --- Ela estava a caminho do hospital quando aconteceu.
Ready?                                                                                --- Preparado?
Smile.                                                                                --- Sorria.
Shoes!                                                                                --- Calçado!
American brands!                                                                      --- Marcas americanas!
Smile.                                                                                --- Sorria.
This, Mr David, is the biggest Dhobi Ghat in the whole of India.                      --- Este, Mr. David, é a maior Dhobi Ghat de toda a Índia.
That's amazing.                                                                       --- Isto é incrível.
Come on, take a real good look at this.                                               --- Olha bem para isto.
They say that every man in Uttar Pradesh is wearing a kurta that has been at least washed once out here. --- Dizem que todos os homens em Uttar Pradesh usa uma kurta que já foi pelo menos lavada uma vez aqui.
Move it around!                                                                       --- Vamos, mexam-se!
Pit-stop's god speed!                                                                 --- Velocidade do Deus das boxes!
Schumacher got style!                                                                 --- Estilo Schumacher!
There are the cows or are those buffalos...                                           --- São as vacas ou serão búfalos...
What are those over there?                                                            --- O que é aquilo ali?
Oh, shit.                                                                             --- Oh, merda.
What the hell happened here?                                                          --- O que aconteceu aqui?
Ok.                                                                                   --- Ok.
Hold it!                                                                              --- Pare!
You've got the insurance don't you?                                                   --- Você tem seguro, não tem?
Are you ok?                                                                           --- Estás bem?
You wanted to see a bit of real India?                                                --- Você queria ver um pouco da verdadeira Índia?
Here it is!                                                                           --- Aqui está ela!
Well, here is a bit of the real America, son.                                         --- Bem, aqui está um pouco da verdadeira América, filho.
Money.                                                                                --- ("Dinheiro")
Oh, yes, yes!                                                                         --- Oh, sim, sim!
Jesus...                                                                              --- Jesus...
Here.                                                                                 --- Toma.
On an american 100 dollar bill there's a portrait of which american statesman?        --- Numa nota de 100 dólares americanos está a figura de que estadista Americano?
A: George Washington                                                                  --- A: George Washington
B: Franklin Roosevelt                                                                 --- B: Franklin Roosevelt
C: Benjamin Franklin                                                                  --- C: Benjamin Franklin
D: Abraham Lincoln                                                                    --- D: Abraham Lincoln
Pay or play, Jamal?                                                                   --- Pagamos ou jogamos, Jamal?
You decide.                                                                           --- Você decide.
Oh god he's looking at the camera.                                                    --- Oh, meu Deus ele está a olhar para a câmara.
He hasn't got a clue.                                                                 --- Ele não faz ideia.
This is gonna be a walk away.                                                         --- 
Stand by.                                                                             --- 
No, he's gonna play with him first.                                                   --- Não, ele vai gozar com ele primeiro.
Jamal?                                                                                --- Jamal?
Get a lot of 100 dollar bills in your in your line of work?                           --- Recebe muitas notas de 100 dólares no seu trabalho?
A minimum tip for my services.                                                        --- Uma gorjeta mínima pelos meus serviços.
Oh, now I know why my cellphone bills are so high.                                    --- Oh, agora percebo porque é que as minhas contas de telemóvel estão tão altas.
They tip the chaiwalla with 100 dollar bills.                                         --- Eles dão gorjetas de 100 dólares a um chaiwalla.
It's C.                                                                               --- É a C.
Benjamin Franklin.                                                                    --- Benjamin Franklin.
You're gonna play, huh?                                                               --- Vai jogar, huh?
I think I've just had, hadn't I?                                                      --- Penso que acabo de o fazer, não foi?
So you exactly have C, right?                                                         --- C, certo?
Who's on 1,000 rupee note?                                                            --- Quem está numa nota de 1.000 rupias?
I don't know.                                                                         --- Não sei.
You don't know?                                                                       --- Não sabes?
Ghandi is he.                                                                         --- É o Gandhi.
Oh, I have heard of him.                                                              --- Oh, já ouvi falar dele.
Don't get clever or I'll get the electricity out again.                               --- Não te armes em esperto ou vou buscar outra vez a electricidade.
Look.                                                                                 --- Olhe.
They didn't ask me that question.                                                     --- Eles não me perguntaram isso.
I don't know why.                                                                     --- Não sei porquê.
Ask them.                                                                             --- Pergunte-lhes.
It's funny, you don't seem like you're interested in money.                           --- É engraçado, não pareces muito interessado em dinheiro.
By the fact you have... one million rupees!                                           --- Já agora você tem... 1 milhão de rupias!
Explain the 100 dollar bill.                                                          --- Explica a nota de 100 dólares.
Bombay had turned name to Mumbay.                                                     --- Bombaim tinha alterado o nome para Mumbai.
Why don't you understand?                                                             --- Porque é que não compreendes?
A girl lived here.                                                                    --- Vivia aqui uma rapariga.
As tall as me perhaps.                                                                --- Talvez da minha altura.
Her name was Latika.                                                                  --- Ela chama-se Latika.
Don't know anyone of that name.                                                       --- - Não conheço ninguém com esse nome.
Two chicken burgers, two fries, one diet cola, one coke!                              --- 2 chicken burgers, 2 batatas fritas, 1 cola dieta, 1 cola!
One mineral water!                                                                    --- Uma água mineral!
Shimla.                                                                               --- Shimla.
I'm going to Chowpatty, ok?                                                           --- Eu vou a Chowpatty, ok?
