How you doing, Keaton?                                                                --- Como estás, Keaton?
Hand me the fuckin' keys, you cocksucker.                                             --- Dê-me a porra das chaves, meu filho da puta, que merda...
What the fuck? Number 4, step forward.                                                --- 
It was bullshit.                                                                      --- 
The whole rap was a setup.                                                            --- Tudo aquilo era uma armadilha.
"Hand me the keys you fucking cocksucker." It was the cops' fault.                    --- Passa-me as chaves, meu filho da puta desgraçado. Era tudo obra da polícia.
You don't put guys like that into a room together.                                    --- Não se põem tipos daqueles todos juntos numa cela.
Who knows what can happen?                                                            --- Ninguém sabe o que pode acontecer.
"Hand me the keys you fucking cocksucker."                                            --- Passa-me as chaves, meu filho da puta desgraçado.
This has really got to be embarrassing for you guys.                                  --- Realmente isto deve ser... embaraçoso para vocês.
They drilled us all night.                                                            --- Interrogaram-nos a noite toda.
Someone was mad about that truck hijacking and the cops had nothing.                  --- Alguém estava fulo por aquele camião ter sido roubado e a polícia não ter pistas.
They were hoping somebody would slip up and give them something.                      --- Esperavam que alguém se descaísse e dissesse alguma coisa.
They knew we wouldn't fight, they knew how to lean on us.                             --- Sabiam que nós não iríamos resistir porque eles sabiam como nos coagir.
They've been doing it forever.                                                        --- Quer dizer, os nossos direitos foram esquecidos.
Our rights went out the window.                                                       --- Quer dizer, os nossos direitos foram esquecidos.
It was a violation.                                                                   --- Era uma violação de direitos.
Disgraceful.                                                                          --- Começaram com o McManus.
They went after McManus first.                                                        --- Começaram com o McManus.
Topnotch entry man.                                                                   --- Que camião?
What truck?                                                                           --- Que camião?
-The truck with the guns, fucko.                                                      --- O camião cheio de armas, meu merdas.
-"Fucko"?                                                                             --- Brrr...
He was a good guy.                                                                    --- Mas era completamente doido.
Crazy, though.                                                                        --- 
Wanna know what your pal Fenster told us?                                             --- Queres saber o que teu amigo Fenster nos contou?
-Say who?                                                                             --- Quem?
-McManus. He told us another story.                                                   --- McManus.
Is that the one about the hooker with the dysentery?                                  --- Oh, aquela história sobre a puta com desinteria?
Fenster always worked with McManus.                                                   --- O Fenster trabalhou sempre com o McManus.
He was a real tight-ass. But when it came to the job, he was right on.                --- Era difícil de lidar com ele... mas quando se tratava de trabalho, nunca falhava.
A smart man.                                                                          --- O que estavas a dizer?
-What are you saying?                                                                 --- O que estavas a dizer?
-I said he'll flip you.                                                               --- Eu disse que ele vai rebentar-te todo.
-He'll what?                                                                          --- - Vai rebentar-te todo.
-Flip you.                                                                            --- 
Flip you for real.                                                                    --- - Vai rebentar-te todo, a sério.
-I'm shaking.                                                                         --- - Pois, estou cheio de medo.
Come on.                                                                              --- Responde à minha pergunta.
-Okay.                                                                                --- Responde à minha pergunta.
-Answer my questions.                                                                 --- Podem-me ouvir aí atrás?
-Can you hear me in the back?                                                         --- Podem-me ouvir aí atrás?
Hello? I want my lawyer.                                                              --- Eu quero... o meu advogado.
I'm gonna have your fuckin' badge, cocksucker.                                        --- Vou fazer com que te tirem a merda do distintivo.
Todd Hockney: good with explosives.                                                   --- Bom com explosivos.
Without a doubt, the one guy who didn't give a fuck about anybody.                    --- Sem dúvidas, um tipo que se estava a cagar para todos.
You guys don't have a fuckin' leg to stand on.                                        --- Vocês não têm nada a que se agarrarem.
You think so, tough guy?                                                              --- 
I can put you in Queens during the hijacking.                                         --- Posso colocar-te em Queens na noite do assalto.
Really?                                                                               --- Eu moro em Queens.
I live in Queens.                                                                     --- Eu moro em Queens.
Did you put that together yourself, Einstein?                                         --- Concluíste isso sozinho, Einstein?
You got a team of monkeys working full time on this?                                  --- Tens uma equipa de macacos a trabalhar nisto?
You know what happens if you do another turn in the joint?                            --- Sabes o que acontece se fores preso mais uma vez?
I fuck your father in the shower, and have a snack.                                   --- Como o teu pai no chuveiro e depois durmo a sesta.
-Are you gonna charge me, dickhead?                                                   --- Vais-me acusar, cabeça de piça?
-I'll charge you when I'm ready.                                                      --- Vou acusar-te quando estiver pronto.
-With what?                                                                           --- Com o quê?
-You know damn well, dead man.                                                        --- Tu sabes muito bem, homem morto.
But Keaton? Keaton was the real prize for them for obvious reasons.                   --- Mas Keaton...
It was your mistake, not mine.                                                        --- O erro foi teu, não meu.
Did you ever stop to ask me?                                                          --- Alguma vez paraste para me perguntar?
I've been walking around with the same face, the same name.                           --- Tenho trabalhado por aí, com a mesma cara, o mesmo nome.
I'm a businessman.                                                                    --- Sim, em que ramo?
What's that?                                                                          --- No ramo dos restaurantes?
The restaurant business?                                                              --- No ramo dos restaurantes?
No. From now on you're in the "getting fucked by us" business.                        --- Não, de agora em diante, estás no ramo "sendo-fodido-por-nós".
I'm gonna make you famous, cocksucker.                                                --- Vou-te fazer famoso.
Like I said... it was your mistake... not mine.                                       --- Como disse... o erro foi teu. Não meu.
You charge me with this shit... and I'll beat it.                                     --- Acusa-me dessa merda... e eu livro-me dela.
Okay?                                                                                 --- 
Let's get back to the truck, asshole.                                                 --- 
Really, somebody's got to do something about this shit.                               --- Eu fiz isso durante algum tempo...
They put me in holding every five minutes.                                            --- Eu fiz isso durante algum tempo...
So I did a little time.                                                               --- Eu fiz isso durante algum tempo...
Does that mean I get railed every time a truck finds it's way gone?                   --- mas significa que eu tenho a culpa sempre... que um camião é roubado no planeta?
Fuck 'em.                                                                             --- Fodam-se!
Fenster, will you relax?                                                              --- Fenster, podes relaxar?
-These guys don't have any probable cause.                                            --- Estes gajos não têm nada!
-You fuckin' right.                                                                   --- É isso mesmo.
No PC. You're goddamn right.                                                          --- É isso mesmo.
You do some time, never let you go.                                                   --- Tu roubas uma vez, nunca mais te deixam em paz.
They treat me like a criminal. -I'll end up a criminal.                               --- Sabes, tratam-me como um criminoso... eu vou acabar como um criminoso.
-You are a criminal.                                                                  --- Tu és um criminoso!
Why'd you got to go and do that?                                                      --- 
-I'm trying to make a point.                                                          --- Então, porque é que não dizes qual é o teu ponto de vista?
-Why don't you make your point?                                                       --- Estou a ficar saturado disto.
You're making me tired all over.                                                      --- Estou a ficar saturado disto.
Fuck it then.                                                                         --- Que se foda.
-I heard you were dead.                                                               --- - A sério? Então ouviste bem!
-Yeah?                                                                                --- 
-You heard right.                                                                     --- 
-Word I got is you hung up your spurs.                                                --- O que eu ouvi foi que tu penduraste as chuteiras.
-What's that all about?                                                               --- 
-What's this?                                                                         --- Quem é essa?
Rumor has it Keaton's gone straight.                                                  --- Os boatos dizem que o Keaton se endireitou.
I hear he's tapping Edie Finneran.                                                    --- Soube que ele anda com a Edie Finneran.
Who's that?                                                                           --- 
She's a heavyweight criminal lawyer from uptown.                                      --- É uma advogada criminal dos pesos-pesados da cidade.
I hear she's Keaton's meal ticket.                                                    --- Soube que ela é o ganha pão dele.
How 'bout it, Keaton?                                                                 --- O que dizes disto, Keaton?
You a lawyer's wife?                                                                  --- Casaste-te com uma advogada?
What kind of retainer you giving her?                                                 --- Que espécie de "segurança" tens sobre ela?
Do your friend a favor... tell him to keep quiet.                                     --- Faz um favor ao teu amigo... diz-lhe para se calar.
Dean Keaton...  Gone clean?                                                           --- Dean Keaton... endireitou-se, hã?
Say it ain't so.                                                                      --- Diz-me que não é assim.
-Or was it you that hit that truck?                                                   --- 
-Mac, forget him.                                                                     --- Esquece.
Did you get to talk to your lawyer?                                                   --- Conseguiste falar com a tua advogada?
This whole thing was a shakedown.                                                     --- Esta coisa toda era uma armadilha.
-What makes you say that?                                                             --- Quantas vezes estiveste numa sala de suspeitos?
-How many times you been in a lineup?                                                 --- Quantas vezes estiveste numa sala de suspeitos?
It's always you and four dummies.                                                     --- És sempre tu e mais 4 anónimos.
The PD are paying homeless guys $10 a head half the time.                             --- A polícia paga aos tesos dez dólares por sessão na maioria das vezes.
There's no way they'd line five felons in the same row.                               --- E não há maneira de meterem cinco gajos como nós na mesma sala.
What's a voice lineup?                                                                --- E o que é uma sala de vozes suspeitas?
Public defender could get you out of that.                                            --- Até um defensor público pode livrar alguém disto.
-Why the hell was I strip searched?                                                   --- Então porque diabos eu fui revistado?
-It was the feds.                                                                     --- Estão a lançar barro à parede.
A truckload of guns gets snagged.                                                     --- E o que é uma sala de vozes suspeitas?
Customs comes down on NYPD for answers.                                               --- Estão a lançar barro à parede. Ah, os gajos revistaram-me o cu hoje.
They come up with us.                                                                 --- Estão a lançar barro à parede.
-They're clutching at straws.                                                         --- Ah, os gajos revistaram-me o cu hoje.
-I had a guy's finger up my ass.                                                      --- 
Is it Friday already?                                                                 --- Hoje já é sexta?
Yeah, lover boy.                                                                      --- Tu queres um pedaço?
You want a piece?                                                                     --- Tu queres um pedaço?
Jump in.                                                                              --- Eu amo-te.
I'll love you.                                                                        --- 
So who in the goddamn piss hell stole our fucking truck?                              --- Afinal quem diabos... roubou a merda do camião?
-What did you say?                                                                    --- O que é que disseste?
-Who stole the fucking truck?                                                         --- Quem roubou a merda do camião!
-I don't want to know.                                                                --- Eu não quero saber.
-Who asked you, workingman?                                                           --- Quem te perguntou, homem trabalhador?
Fuck who did it.                                                                      --- Foda-se para quem roubou.
What I want to know is, who's the gimp?                                               --- O que eu quero saber é quem é o aleijado.
-He's okay.                                                                           --- OK.
-Says you.                                                                            --- Como vou saber?
How do I know that?                                                                   --- E então, homem aleijado?
What about it, pretzel man?                                                           --- 
What's your story?                                                                    --- 
His name is Verbal.                                                                   --- O nome dele é Verbal.
Verbal Kint.                                                                          --- Verbal Kint.
-Verbal?                                                                              --- Verbal?
-Yeah.                                                                                --- Roger.
Roger, really. People say I talk too much.                                            --- Roger.
I was going to tell you to shut up.                                                   --- Claro, ia já dizer-te para fechares a boca.
-We met before, once or twice.                                                        --- Nós já nos vimos antes uma ou duas vezes.
-In County.                                                                           --- Por fraude.
I was in for fraud.                                                                   --- 
You were in a lineup then, too.                                                       --- 
What happened? I walked.                                                              --- Saí em liberdade.
90 days, suspended.                                                                   --- 90 dias, pena suspensa. Então foste tu!
-So you did it.                                                                       --- OK, olhem só...
-All right, now look... we've all been put out by this whole thing, right?            --- Todos nos livramos de tudo isto, certo?
I figure we owe it to ourselves to salvage a little dignity.                          --- Então acho que devemos a nós próprios salvaguardar um pouco da nossa dignidade.
Now, me and Fenster heard about a little job.                                         --- Agora... eu e o Fenster soubemos de um pequeno trabalho.
Why don't you just calm down?                                                         --- Porque é que não te acalmas?
What do you care what he has to say?                                                  --- Porque te importas com o que ele tem a dizer?
I'm just talking here.                                                                --- Só estou a falar.
It seems to me like Mr. Hockney wants to hear it... and I know Fenster's down.        --- E parece-me que o Sr. Hockney quer ouvir o que tenho a dizer... e sei que o Fenster está interessado.
What about you, guy?                                                                  --- E tu?
I'm interested.                                                                       --- Estou interessado, claro.
There.                                                                                --- 
See? I'd like to exercise my right to free assembly.                                  --- 
Why don't you just shut up?                                                           --- Porque é que não calas a boca?
You're missing the point.                                                             --- Tu não estás a entender.
No.                                                                                   --- Não...
You're missing the point.                                                             --- Tu é que não está a entender.
I don't want to hear anything from you.                                               --- Não quero saber de nada vindo de ti.
I don't care about your job.                                                          --- Não quero saber do vosso trabalho...
And... I want nothing to do with any of you.                                          --- E...não quero ter nada a ver convosco. Peço desculpa... mas podem ir todos para o inferno.
I beg your pardon, but you can all go to hell.                                        --- Peço desculpa... mas podem ir todos para o inferno.
Dean Keaton... gone the high road.                                                    --- Dean Keaton... seguindo o caminho moral.
What is the world coming to?                                                          --- Onde é que o mundo vai parar?
Fuck him.                                                                             --- Ele que se foda.
And that was how it started:                                                          --- E foi assim que começou.
Five of us brought in on a trumped-up charge... to be leaned on by half-wits.         --- Todos os 5 juntos por uma acusação sem sentido para sermos convencidos por meias ideias.
I really can't talk about it much here.                                               --- Ok, não posso falar muito do assunto aqui...
What the cops never figured out, and what I know now... was that these men would never break, never lie down. --- O que os policias nunca entenderam, e que agora eu sei... era que estes homens nunca iriam quebrar, desistir... nunca iriam deixar-se rebaixar por ninguém... ninguém.
Never bend over for anybody.                                                          --- 
Anybody.                                                                              --- 
-Who are you?                                                                         --- Quem é você?
-Agent Jack Baer, FBI.                                                                --- Agente Jack Baer, FBI.
-How many dead?                                                                       --- 15 até agora.
-15 so far.                                                                           --- 15 até agora.
They're still pulling bodies out of the water.                                        --- Mas ainda estão a tirar alguns corpos da água.
-Any survivors?                                                                       --- 
-Two.                                                                                 --- Sim, há dois.
One guy's in County hospital, but he's in a coma.                                     --- Um deles está no hospital, mas está em coma.
The DA has a second guy, a cripple from New York.                                     --- O Ministério Público tem o segundo... um aleijado de Nova lorque, acho eu.
The chief wants this place sealed off.                                                --- O chefe quer isto fechado.
If you have any questions, give him a call.                                           --- Se tiver alguma questão, ligue-lhe.
This is Dave Kujan.                                                                   --- Ligou para Dave Kujan.
I'll be in Los Angeles until Tuesday.                                                 --- Vou estar em Los Angeles até terça.
If you need to reach me, contact Jeff Rabin of the San Pedro Police Department... at extension 112. --- Se precisar de mim, fale com... Jeff Rabin da Esquadra de San Pedro, extensão 112.
Have a nice day.                                                                      --- Tenha um bom dia.
-Why can't I see him?                                                                 --- - Porque não posso vê-lo?
-I told you... the DA came down here last night ready to arraign... even before they moved him to County. --- - Dave, eu disse-te... que o Ministério Público veio aqui ontem à noite... preparado para fazê-lo depor antes de o levar ao juiz.
Kint's lawyer shows up five minutes later... the DA comes out looking like the bogeyman smacked him around. --- O advogado do Verbal Kint aparece cinco minutos depois... e os tipos do Ministério Público saem da sala como se tivessem visto um fantasma.
They take his statement, and they cut him a deal.                                     --- Eles registaram o depoimento e ofereceram-lhe um acordo.
-Did they charge him with anything?                                                   --- Sim, armas. Uma infracção por pequeno delito.
-Weapons, misdemeanor 2.                                                              --- Uma infracção por pequeno delito.
What is that?                                                                         --- Que é isto?
I give the DA credit for getting that much, you understand?                           --- Ouve, já achei bom o Ministério Público ter conseguido tanto, entendes?
Excuse me, sir.                                                                       --- Com licença.
This whole thing has turned political.                                                --- Tudo isto transformou-se em política.
The mayor was here last night.                                                        --- O presidente esteve aqui ontem à noite.
The chief. This morning, the governor called, okay?                                   --- O chefe, de manhã... o governador ligou, ok?
I'm telling you, this guy is protected from up on high by the Prince of Darkness.     --- Estou-te a dizer que este tipo é protegido de cima pelo príncipe da escuridão.
-Take my word for it.                                                                 --- Quando se vai embora?
-When does he post bail?                                                              --- Talvez daqui a duas horas, no máximo.
-Maybe two hours, tops.                                                               --- Quero vê-lo.
-I want to see him.                                                                   --- - Não, Dave.
-No.                                                                                  --- Dave, não!
-I gotta see him.                                                                     --- - Tenho de o ver, Jeffrey.
-No. I can't-- -You gotta do this for me.                                             --- Dave, não!
I came a long way for this.                                                           --- Vim de muito longe para isto.
Dave, please.                                                                         --- Dave, por favor.
Even if I let you talk to him, he won't talk to you.                                  --- Mesmo que te deixe falar com ele, ele não vai falar contigo.
He's paranoid about being recorded.                                                   --- É paranóico acerca de estar a ser gravado.
-He knows the rooms are wired.                                                        --- Ele sabe que as salas de interrogatório têm escutas.
-I quit.                                                                              --- 
This won't be an interrogation, just a friendly chat.                                 --- apenas uma conversa amigável para matar o tempo.
-He won't go into the interrogation room.                                             --- Ele não vai para a sala de interrogatório.
-Then someplace else.                                                                 --- - Então noutro lugar.
Where?                                                                                --- - Onde?
No, no.                                                                               --- Se isto envolve negócios de droga, onde está a droga?
If this was a dope deal, where's the dope?                                            --- Se era uma armadilha, quem é o chefe?
If it was a hit, who called it?                                                       --- Tenho certeza que tu tens muitas teorias para responder a todas as perguntas.
I'm sure you have a host of wild theories to answer all these questions.              --- Tenho certeza que tu tens muitas teorias para responder a todas as perguntas.
-You know what I think.                                                               --- - Tu sabes muito bem o que eu acho.
-That's crazy, and it doesn't even matter.                                            --- E mais, isso nem importa... o gajo tem imunidade total.
The guy's got total immunity.                                                         --- A história dele bate certo.
His story checks out.                                                                 --- Ele não sabe o que tu queres saber.
-He doesn't know what you want to know.                                               --- Ele não sabe o que tu queres saber.
-I don't think he does, not exactly.                                                  --- Ele não sabe o que tu queres saber.
But there's a lot more to his story, believe me.                                      --- Mas há muito mais na história dele, acredita em mim.
I wanna know why 27 men died on that pier... for what looks to be $91 million worth of dope that wasn't there. --- Eu quero saber porque morreram 27 homens naquele navio... que aparenta valer 91 milhões de dólares por drogas que não estavam lá.
And above all, I want to be sure Dean Keaton's dead.                                  --- E acima de tudo... quero ter certeza que Dean Keaton está morto.
He's dead.                                                                            --- Vá lá, duas horas.
Come on.                                                                              --- Até ele ir embora.
Two hours.                                                                            --- Vá lá, duas horas.
Just till he makes bail.                                                              --- Até ele ir embora.
They're all dead.                                                                     --- Estão todos mortos.
I don't care how tough you say Keaton was... nobody on that boat could've come out alive. --- Eu não me importo o quão duro tu digas que o Keaton fosse... ninguém naquele barco poderia ter saído vivo.
-Is he talking? -He regained consciousness an hour ago.                               --- Ele já fala?
He spoke, not English, then he lapsed.                                                --- Ele já fala?
-Hungarian?                                                                           --- - Não sei.
-That might have been it.                                                             --- Pode ter sido isso.
-Most of them were Hungarians.                                                        --- Você tem que pôr isto.
-You gotta put this on.                                                               --- Você tem que pôr isto.
Burn victims are very susceptible to infection.                                       --- Os queimados são muito susceptíveis a infecções.
And, of course, there's no smoking.                                                   --- E, é claro, é proibido fumar.
Keep your mask up.                                                                    --- Por favor, não lhe toque.
Please don't touch him.                                                               --- Por favor, não lhe toque.
Is he gonna die?                                                                      --- Ele vai morrer?
He's burned 60 percent of his body, broken ribs--                                     --- Tem 60% do corpo queimado, algumas costelas partidas...
Call security.                                                                        --- 
Put a man on the door.                                                                --- Ponha-o na porta até que a polícia chegue aqui.
-Is he dangerous?                                                                     --- Ele é perigoso?
-Yes.                                                                                 --- Sim!
Do it.                                                                                --- Faça agora!
Do it now.                                                                            --- Faça agora!
Joel?                                                                                 --- Joel?
Baer. Down at LA County.                                                              --- Sim, Baer, estou no condado de L.A.
Look, the guy they pulled out of the harbor is Arkosh Kovash.                         --- O tipo que eles tiraram da baía chama-se Arkosh Kovac.
Yes, I'm sure.                                                                        --- Sim, eu tenho certeza.
No, he's all fucked up.                                                               --- Não, não, ele está todo fodido.
I can't hear you.                                                                     --- Não te consigo ouvir!
Will you shut up?                                                                     --- Estou ao telefone!
I'm on the phone.                                                                     --- Sim.
Yes.                                                                                  --- Sim.
No, not till I put a man on him.                                                      --- 
Send me someone who can speak Hungarian.                                              --- Mande-me alguém que fale Húngaro.
He's awake.                                                                           --- 
He's talking like a Thai hooker.                                                      --- Não, apenas alguém que...
Keyser Soze.                                                                          --- 
-What?                                                                                --- O quê?
-Keyser Soze!                                                                         --- 
No shit?                                                                              --- Não brinques!
Call Dan Metzheiser over at Justice... and find Dave Kujan from Customs.              --- Sim, ligue para o Dan Metzheiser da Justiça... e encontre o Dave Kujan das Alfândegas.
Verbal, this is Agent Kujan from Customs.                                             --- Verbal, este é o Agente Kujan, das Alfândegas.
Nice to meet you.                                                                     --- Prazer em conhecê-lo.
He wants to ask you a few questions before you go.                                    --- Ele quer fazer-lhe umas perguntas antes de sair.
-What about?                                                                          --- Principalmente, sobre o Dean Keaton.
-About a Dean Keaton, mostly.                                                         --- Principalmente, sobre o Dean Keaton.
I'd like to start at the lineup back in New York.                                     --- Mas eu gostaria de começar com a sala de suspeitos em New York.
-Can I get some coffee?                                                               --- Posso tomar café?
-In a while.                                                                          --- 
Let's talk about the lineup.                                                          --- Estou com muita sede.
I'm really thirsty.                                                                   --- Eu costumava desidratar quando era criança.
I used to dehydrate as a kid.                                                         --- Eu costumava desidratar quando era criança.
Once I got so bad my piss come out like snot.                                         --- Uma vez fiquei tão mal, que o meu mijo saiu como uma pedra ...não estou a brincar...
-It was all thick and gooey-- -I'll get your fucking coffee.                          --- Vou buscar o teu café. Traz-me um para mim, já que vais lá.
Get me one, too, while you're at it.                                                  --- Traz-me um para mim, já que vais lá.
That guy is tense.                                                                    --- A tensão pode matar.
Tension is a killer. I used to be in a barbershop quartet in Skokie, lllinois.        --- Costumava ir a uma barbearia em Skokie, Illinois... o barbeiro era um tipo chamado Kip Diskin.
The baritone was this guy named Kip Diskin, big fat guy.                              --- Traz-me um para mim, já que vais lá.
Like, orca fat.                                                                       --- Quero dizer, como uma orca.
He was so stressed in the morning--                                                   --- De manhã estava sempre cheio de stress...
-You know we're trying to help you.                                                   --- Verbal, você sabe que nós estamos a tentar ajudá-lo.
