B                                                                                     --- " B".
You're missing the point, Nick, it doesnt matter what they say.                       --- Não entendeste o sentido, não importa o que digam.
- Okay.                                                                               --- Ok.
I got this now.                                                                       --- Agora entendi.
One at a time.                                                                        --- Um de cada vez. Um de cada vez.
One at a time. So you'll be seeking the death penalty?                                --- Tentarão a pena de morte?
For Rupert Ames we will be.                                                           --- - Tentaremos para Rupert Ames. - E Darby?
- And for Darby? He has pled guilty to murder but he is a cooperating witness.        --- Ele declarou-se culpado, mas é testemunha colaborativa.
The DAs office has commited all of its resources to ensure that justice will be served. --- A procuradoria usou todos os recursos para garantir que a justiça será feita.
Did you make any kind of...                                                           --- Fez algum tipo de pedido?
I just wanna say thanks for being in my corner.                                       --- Só quero agradecer por estar do meu lado.
It's nice when the system works, right?                                               --- É óptimo quando o sistema funciona, não é? Fique longe de mim.
Get away from me.                                                                     --- Vamos.
Come on. Move it.                                                                     --- Mexa-se.
Let's go.                                                                             --- Vamos.
Uh-uh, what happened? - What happened where?                                          --- Que se passa?
What's wrong?                                                                         --- Qual é o problema?
And you call my job boring.                                                           --- E dizes tu que o meu trabalho é chato.
C minus?                                                                              --- -" C -"? - É.
Well, okay, now,                                                                      --- Está bem, agora...
You gonna tell me whats wrong?                                                        --- Vais dizer-me qual é o problema?
Can I talk to my daughter for a little bit?                                           --- Posso falar um pouco com a minha filha?
Nooo...                                                                               --- - Ah, não... - Por favor!
- Please First of all, this is your father speaking                                   --- Em primeiro lugar, daqui é o teu pai que está a falar.
Yeah, she didnt know that.                                                            --- - É, ela não sabia isso.
- You never know.                                                                     --- - Nunca se sabe.
I want you to stay in there as long as you can                                        --- Quero que fiques aí dentro o máximo que puderes...
Cause there's a lot of crazy ass people out here.                                     --- Porque aqui fora há um monte de gente marada dos cornos.
Language!                                                                             --- - Atenção à linguagem!
- Your mother is a hardass.                                                           --- - A tua mãe é muito rigorosa. Eu estou aqui.
I'm right here. And daddy wants you to come out and be daddys little girl...          --- E o pai quer que saias e seja a menininha dele...
10 years later                                                                        --- 10 ANOS DEPOIS
Anybody seen my phone?                                                                --- Alguém viu o meu telemóvel?
Hey, did you see my phone?                                                            --- Hei, viste o meu telemóvel? Não está sempre na tua mão?
It's not strapped to your hand? No it's not strapped to my hand.                      --- Não, não está.
Daddy!                                                                                --- Pai!
Not gonna have some of my french toast?                                               --- Não vais comer as minhas rabanadas? Rabanadas?
French toast, you making french toast?                                                --- Fizeste rabanadas?
I'm sorry I can't, I'm running late.                                                  --- Desculpa, não posso, estou atrasado.
Okay.                                                                                 --- Tudo bem.
Alright, here we go.                                                                  --- Está bem, dá-me uma.
Mmmm, taste good.                                                                     --- Está deliciosa. - Obrigada.
Thanks - Did this is by yourself?                                                     --- - Fizeste sozinha?
You're better than your mother.                                                       --- Cozinhas melhor que a tua mãe.
I heard that.                                                                         --- Eu ouvi isso!
Smells good.                                                                          --- O cheiro é óptimo.
Here, your lifeline.                                                                  --- Aqui, a tua salvação.
Morning baby.                                                                         --- Bom dia, querida.
You're going to your daughters recital this afternoon?                                --- Vais ao recital da tua filha hoje à tarde?
Uhm, I thought you were gonna order the DVDs.                                         --- Achei que fosses comprar os DVDs.
Video is not the same, Nick.                                                          --- Ver em vídeo não é a mesma coisa, Nick.
Mom, its okay.                                                                        --- Mãe, está tudo bem.
Dad's gotta work, I know                                                              --- O pai tem que trabalhar, eu sei. Vês, tudo bem.
See, its alright. Dad's gotta work.                                                   --- O pai tem que trabalhar.
And what does Dad do?                                                                 --- E o que o pai faz hoje? - Prende gajos maus.
Lock up bad guys. - And why does he do that?                                          --- - E porque faz isso?
To keep us safe.                                                                      --- - Para nos manter seguros.
- Yeah, he wants us to be safe.                                                       --- - É, quero todos seguros.
Baby, get your chello.                                                                --- - Querida, vá buscar o seu violoncelo. - Tudo bem.
- Alright Thank you so much.                                                          --- - Muito obrigado.
- You're welcome.                                                                     --- - De nada.
What a Julia Child( cook).                                                            --- Que bela cozinheira.
You know she's 10 years old, right? you know that?                                    --- Sabes que ela tem 10 anos, não é? - Sabes disso? - Sei.
- I know that She doesn't understand why you're never around.                         --- Ela não entende porque nunca estás por perto.
This good-guy-bad-guy stuff thats just talk to her.                                   --- " Tipo bom, tipo mau?" Fala com ela. Não faças isso!
I can't come today.                                                                   --- Não posso ir hoje.
You know you have not been to one recital                                             --- - Sabes que nunca foste a um recital! - Mas tu sim. - Chega!
Enough!                                                                               --- - Está bem.
- Okay We'll get the video, we'll sit down and watch as a family.                     --- Compraremos o DVD, vamos sentar-nos juntos, e vamos vê-lo como uma família.
I love you.                                                                           --- Amo-te.
Alright?                                                                              --- Está bem?
Thank you for the toast.                                                              --- - Obrigado pela rabanada. - Amo-te.
- Love you                                                                            --- - Também te amo.
Love you too - Bye                                                                    --- - Tchau. Eu amo-te.
So how's Chip?                                                                        --- - Como vai o Chip? - O nome dele é Chester.
- It's Chester                                                                        --- O que aconteceu com o Chip?
What happened to Chip, I liked Chip.                                                  --- Gostava do Chip.
There is no Chip.                                                                     --- Não há nenhum Chip.
And now there's no Chester.                                                           --- E agora, nenhum Chester. - Continua a ligar.
He kept calling. - Sarah, thats a good thing.                                         --- - Sarah, isso é bom.
I know, but I kept cancelling.                                                        --- Eu sei, mas eu continuo a desmarcar.
My case load is crazy.                                                                --- Estou com muitos casos é louco.
You know you dont have to go to this if you dont want to.                             --- Sabes que não tens que ir se não quiseres.
Yeah, I do.                                                                           --- É, eu sei.
I...                                                                                  --- Eu...
What's it like?                                                                       --- Como é? Nada demais.
No biggie. Like watching somebody fall asleep.                                        --- É como ver alguém adormecer.
Except the not-waking-up part?                                                        --- Excepto pela parte de não acordar?
Does it bother you?                                                                   --- Isso incomoda?
Not anymore.                                                                          --- Já não.
Sarah. Your legs are looking real good in those heels.                                --- Sarah, as tuas pernas ficam lindas nesses sapatos de salto alto.
What are you doing, Reynolds?                                                         --- O que estás a fazer, Reynolds?
Why are you here?                                                                     --- Por que estás aqui?
Your DVD player is broken?                                                            --- O teu leitor de DVDs estragou-se?
Ames has no family.                                                                   --- Ames não tem família.
I felt like someone should be here for him.                                           --- Achei que alguém deveria estar aqui por ele.
You just getting a little press?                                                      --- Para alguém fazer umas preces por ele?
Breathe.                                                                              --- Respire.
What I did out there was wrong.                                                       --- O que fiz foi errado. Nunca deveria ter ido lá.
I should have never been there. But I swear to God, I didn't kill those people.       --- Mas, juro por Deus, não os matei.
Wrong man is dying here today.                                                        --- O homem errado está a morrer aqui hoje. Isso é tudo.
Oh God.                                                                               --- - Deus!
- Take her away.                                                                      --- - Tire-a daqui.
What the hell is going on?                                                            --- - O que está a acontecer? - Não sei.
Are you okay?                                                                         --- - Estás bem?
- Yeah                                                                                --- - Sim.
So, somebody killed the guy you were trying to kill.                                  --- Então, alguém matou o gajo que tu tentavas matar? O que foi isso?
What are we calling this? Clear violation of his 8th amendment right: cruel and unusual punishment. --- Violação da 8ª. emenda, é punição cruel e incomum.
Law school.                                                                           --- - Advogados. - É.
- Yeah. The machine, how does it work on a good day?                                  --- A máquina, como funciona normalmente?
It's designed to be pain free.                                                        --- É projectada para que não sintam dor.
Three drugs, administered in a specific order.                                        --- Três drogas, administradas numa ordem específica.
From this moment on we are assuming that the machine was corrupted.                   --- Então agora presumiremos que a máquina foi violada.
We're gonna need a list of all the people with access to that machine.                --- Vamos precisar da lista de pessoas com acesso àquela máquina.
My people would not do this.                                                          --- O meu pessoal não o faria.
I appreciate that, Warden, but I'm gonna need more than a hallpass and a note from mom. --- Compreendo, Director, mas vou precisar de mais do que uma, autorização da mamã.
Detectives. Got something back on the machine.                                        --- Detectives, encontrámos algo atrás da máquina.
Let me see that?                                                                      --- - Posso ver? - Aqui está.
- Right there." Cant fight faith".                                                    --- " Não se pode lutar contra o destino".
- What is it, Nick?                                                                   --- O que foi, Nick?
During the home invasion Ames accomplice said to one of the victims:                  --- Durante o ataque, o cúmplice de Ames disse para uma das vítimas:
" Can't fight faith"                                                                  --- " Não se pode lutar contra o destino".
He said the same thing to me in the courtroom, the prick.                             --- E o sacana disse-me a mesma coisa no tribunal.
I can't remember his name.                                                            --- Não consigo lembrar-me do nome dele.
Have a look at this.                                                                  --- Vê isto. É o teu gajo?
Your guy?                                                                             --- Clarence James Darby.
Clarence James Darby - He's a beauty...                                               --- É uma belezinha.
You got history with him?                                                             --- - Tens uma história com ele? - Eu prendi-o.
- I put him away.                                                                     --- Três anos.
Ah, 3 years. Is that the going rate for murder these days?                            --- É a pena por homicídio actualmente?
There was extenuating circumstances.                                                  --- - Circunstâncias atenuantes.
The only extenuating circumstance should be if he didnt do it.                        --- - A única circunstância atenuante que deveria existir, era se ele não o tivesse feito.
Still, three years at Marion, fucking gladiator camp, you expect him to come back a model citizen? --- Mesmo assim 3 anos em Marion? É um campo de gladiadores. Querias que ele voltasse um cidadão modelo?
Well, if you scholars wouldnt contaminate the crime scenes, I could keep them locked up longer. --- Se vocês não tivessem contaminado o local do crime, poderia tê-lo mantido preso por mais tempo.
Authorities have refused to comment at this point foul play cannot be ruled out.      --- As autoridades recusaram-se a comentar, mas admite-se existência de um enredo traiçoeiro.
The prisoner had been on death row for the past 10 years                              --- O prisioneiro estava no corredor da morte há 10 anos.
All we know at this point is what was supposed to be a painless execution has turned into something out of a horror film. --- Tudo o que sabemos é que o que deveria ser uma execução indolor, se tornou em algo como um filme de terror.
Im Paula live on the scene...                                                         --- Ao vivo, do local do acidente, sou a Paula.
Yeah?                                                                                 --- - Sim?
- Clarence Darby?                                                                     --- - Clarence Darby? - Quem é?
Who's this? - That's strike three for you,                                            --- - Ponto da situação para si.
Coke on the table, bitch on the floor.                                                --- Cocaína na mesa, prostituta no chão. Longe da prisão.
Away from prison. Who the fuck is this?                                               --- Quem diabos está a falar?
Look out your window.                                                                 --- Olha pela janela.
South side.                                                                           --- Lado Sul.
Is this a joke?                                                                       --- É uma piada? Levanta-te!
Get up. South side.                                                                   --- Lado Sul!
Motherfucker.                                                                         --- Filho da puta!
Shit.                                                                                 --- Merda!
Out of the way!                                                                       --- Sai da frente!
He's outdoor!                                                                         --- Está a ir para o norte! Vai, Vai!
Go. Go Damn.                                                                          --- - Bolas!
- Move it, move it.                                                                   --- - Andem! Andem!
What now?                                                                             --- E agora?
Wipe the prints off the gun.                                                          --- Limpa as impressões da arma. Livra-te dela.
Get rid of it.                                                                        --- - Não, não, não.
No, no, no - You fired six times, genius                                              --- - Deste seis tiros, génio.
You bring any ammunition?                                                             --- Trouxeste munições? Livra-te delas.
Lose it. Why are you doing this?                                                      --- - Porque estás a fazer isso?
- I wanna keep you out of prison.                                                     --- - Quero livrar-te da prisão.
See the abandoned factories?                                                          --- Vês as fábricas abandonadas? Vai na direcção delas.
Go toward them.                                                                       --- - Porquê?
Why?                                                                                  --- - Está lá um carro da polícia.
There's a cop car there.                                                              --- - Com um polícia a dormir.
With a cop in it.                                                                     --- - Mas que merda!
What the fuck! I tazered him, but he will be waking up in under 90 seconds.           --- Eu sedei-o e irá acordar dentro de 90 segundos.
So better move.                                                                       --- Por isso é melhor despachares-te.
Rise and fucking shine, bitch                                                         --- A acordar, vamos desgraçado dos infernos!
Wake the fuck up.                                                                     --- Acorda, porra!
Let's go.                                                                             --- Anda!
Start the fucking car.                                                                --- Liga a porra do carro!
Okay. Take it easy.                                                                   --- - Certo, calma.
- Do it. Come on.                                                                     --- - Faz isso, anda!
Take it easy.                                                                         --- - Calma.
Lets go, lets go!                                                                     --- - Vamos, vamos!
Get it in gear, shithead.                                                             --- Engata, seu sacana! Agora! Vamos!
Now! Do it!                                                                           --- Vai, vai!
Get the fuck out.                                                                     --- Sai.
Lets go.                                                                              --- Vamos.
Get the fuck down there.                                                              --- Desce lá, merda!
Hey. What about my wife, my little girl?                                              --- E a minha esposa, e a minha filha?
I'll never see them again.                                                            --- - Nunca mais as vou ver outra vez.
- Fucked up, man.                                                                     --- - Lixado.
Ohh, oh oh, you don't mind if I take this, do you?                                    --- Não te importas se eu atender?
My guardian angel.                                                                    --- O meu anjo da guarda.
I am impressed.                                                                       --- Estou impressionado.
You know why I'll never see my wife and little girl again?                            --- Sabes porque é que nunca mais vou ver a minha esposa e filha?
Cause you took them from me.                                                          --- Porque mas levaste de mim.
Remember me?                                                                          --- Lembras-te de mim?
Sure you do.                                                                          --- Claro que te lembras.
You came over to my house once before.                                                --- Já estiveste na minha casa. Não te lembras?
This Tetrodotoxin should be nicely in your system by now.                             --- A tetrodotoxina já está no teu corpo.
Isolated from the liver of the Carribean Puffer Fish.                                 --- Retirada do fígado de um peixe baiacu das Caraíbas.
So, it paralyzes you, but leaves all the other neurological functions intact.         --- Então, vai paralisar-te, mas deixará todas as outras funções neurológicas intactas.
In other words, you cant move, but you feel everything.                               --- Por outras palavras, não te consegues mexer, mas sentes tudo.
It does absolutely nothing to blunt the pain.                                         --- Não faz absolutamente nada para amenizar a dor.
And you're about to experience more of that than you can ever fucking imagine.        --- E estás a pontos de experimentar mais dor, do que jamais imaginaste.
???, so you dont bleed out.                                                           --- Torniquetes, para que não sangres
You may be here a while.                                                              --- Ficarás aqui por uns tempos.
Saline solution, that should keep us going.                                           --- Solução salina, para nos permitir continuar.
The clamps, nice and secure.                                                          --- As pinças, boas e seguras.
Comfortable?                                                                          --- Confortável?
You really are shaking.                                                               --- Estás a tremer muito.
Sure you're alright?                                                                  --- Tens certeza de que estás bem? Vais amar isto.
Adrenalin.                                                                            --- Adrenalina.
Now this, is so you don't pass out.                                                   --- Agora isto é para não desmaiares.
There you go.                                                                         --- Pronto. Óptimo.
Now what we dont want, is you swallowing your tongue so bare with me.                 --- O que não queremos, é que engulas a língua. Por isso, colabora comigo.
Now this is for your penis.                                                           --- Isto é para o teu pénis.
But we'll get to that later.                                                          --- Mas chegaremos lá mais tarde.
Scalpel, for your eyelids.                                                            --- Bisturi, para as pálpebras.
In case you insist on fucking shutting them.                                          --- No caso de insistires em fechá-las.
You see, I know what it feels like to be helpless, just like when I watched you slaughter my whole family. --- Estás a ver... Eu sei como é sentirmo-nos impotentes, como quando te vi massacrares a minha família.
You can't fight faith, right Darby?                                                   --- Não se pode lutar contra o destino. Não é, Darby?
Oh! And look.                                                                         --- Ah, e olha...
I made this especially for you.                                                       --- Fiz isto especialmente para ti.
You like it?                                                                          --- Gostaste?
Yeah, I didn't want you to miss anything.                                             --- É, não queria que perdesses nada.
Now you have the best view in the house.                                              --- Agora tens a melhor vista da casa.
You hear that?                                                                        --- Ouviste isto?
Your heart is beating so fast.                                                        --- O teu coração está a bater tão rápido.
Well, me too.                                                                         --- Bem, o meu também. OK.
Now they get to watch you suffer.                                                     --- Agora são elas que te vão ver a sofrer.
They'll be the last thing you ever see. as I cut off every single one of your fucking limbs. --- Elas serão a última coisa que verás. Enquanto corto cada pedacinho do teu corpo de merda.
See, I wasn't lying, when I told you I wanted to keep you out of prison.              --- Não estava a mentir, quando disse que te queria manter fora da prisão.
That was the truth.                                                                   --- Era a verdade.
Thanks for the car.                                                                   --- Obrigado pelo carro.
Okay, these are all the case files on Darby,                                          --- Esses são todos os arquivos do Darby.
I vetted through what I could, we have crime scene photos...                          --- Verifiquei todos que pude, temos fotos da cena do crime...
Don't want to see them.                                                               --- Não quero vê-las.
Okay                                                                                  --- Tudo bem.
What's bothering you?                                                                 --- - O que te está a incomodar? - É Darby.
- It's Darby                                                                          --- Todos os crimes que cometeu tinham uma coisa em comum: violência.
All the crimes he's committed have one thing in common, there was violence, but the execution wasnt violence, that was, that was intellect. --- Mas a execução de ontem, não foi violenta, foi... - Foi o quê?
- Okay.                                                                               --- - Foi inteligente. Está bem, no que estás a pensar?
What are you thinking?                                                                --- Bem...
Was just thinking maybe we shouldn't be looking at Darby.                             --- Que talvez não devêssemos estar a procurar pelo Darby.
Jesus Christ.                                                                         --- Jesus Cristo.
Rice. - Good news, councellor.                                                        --- - Boas notícias, doutor.
Found Darby.                                                                          --- Encontrei Darby.
I gotta say though, he's looked better.                                               --- Entretanto, tenho que dizer que já esteve melhor.
They found him in about 25 pieces; no legs no arms, eyelids were sliced off.          --- Encontraram-no em cerca de 25 partes. Sem pernas. Sem braços.
Gruesome. Shedding tears for Darby?                                                   --- - A chorar pelo Darby?
- Not quite                                                                           --- - Não exactamente.
So your wheel's turning.                                                              --- Então a tua cabeça está a funcionar.
- Think motive.                                                                       --- Pensa em motivos. Quem teria?
Who has it?                                                                           --- O marido.
The husband.                                                                          --- O pai.
Father. What do we know about him?                                                    --- O que sabemos sobre ele?
He owned the warehouse where they found Darby                                         --- Era dono do depósito onde encontraram Darby.
What else?                                                                            --- - E mais?
- He's a tinkerer,                                                                    --- - É inventor.
little inventionist.                                                                  --- Pequenas invenções. Electrónicas.
Gizmos. He holds two dozen patents, that made him some money.                         --- Tem 2 dúzias de patentes, que lhe renderam algum dinheiro.
He liquidated most of his wealth a few years ago, to buy some industrial properties around airports, chemical plants, railyards. --- Gastou a maior parte do dinheiro há alguns anos, para comprar algumas propriedades industriais perto de aeroportos, áreas químicas, estações de comboio.
It doesn't add up.                                                                    --- - Não ajuda em nada.
- No, it's weird, right?                                                              --- - Não, é estranho, certo?
Search them all, Sarah, see what you find.                                            --- Verifica todas, vê o que descobres.
Down on your knees!                                                                   --- Fique de joelhos!
Get down!                                                                             --- Abaixe-se! Vamos!
Go!                                                                                   --- De joelhos!
Face down! face down!                                                                 --- Cara no chão! Cara no chão!
The crazy ones scare the shit out of me.                                              --- Este maluco assusta-me.
