You got him!                                                                          --- Apanhaste-o!
Made me weep.                                                                         --- Fez-me cair em prantos. O que te está a confundir esta semana?
What's confusing you this week?                                                       --- A mesma coisa.
Oh, it's the same old one God, three God thing.                                       --- A coisa do Deus três em um.
Frankie, most people figure out by kindergarten it's about faith.                     --- Frank, no jardim de infância, as crianças já sabem... que essa é uma questão de fé.
Is it sort of like Snap, Crackle and Pop all rolled up in one big box?                --- Estás a dizer que é uma mistura de porcarias... enfiados na mesma caixa grande?
You're standing outside my church comparing God to Rice Krispies?                     --- Estás na frente da minha igreja... a comparar Deus com migalhas?
You only come to Mass every day to wind me up.                                        --- A única razão porque vens à missa todos os dias... é para estoirar a minha paciência.
It's not going to happen this morning.                                                --- Esta manhã isso não vai acontecer. - Mas eu estou confuso.
Well, I'm confused.                                                                   --- - Não, estás não.
- No, you aren't.                                                                     --- - Estou sim. - Então aqui está a tua resposta:
Then here's your answer:                                                              --- Só existe um Deus.
There's one God. Anything else?                                                       --- Mais alguma coisa, porque estou ocupado.
Cos I'm busy.                                                                         --- E o Espírito Santo?
- What about the Holy Ghost?                                                          --- Ele é uma expressão do amor de Deus.
- An expression of God's love.                                                        --- E Jesus?
- And Jesus? - Son of God.                                                            --- Filho de Deus, não te armes em burro!
Don't play stupid. Well, what is he, then?                                            --- O que é que ele é então?
Does that make him a demigod?                                                         --- Um semi-deus?
There are no demigods, you fuckin´ pagan!                                             --- Não existem semi-deuses, seu pagão filho da puta!
Did you write to your daughter?                                                       --- - Escreveste à tua filha? - Claro!
Absolutely.                                                                           --- Agora estás a mentir a um padre.
Now you're lying to a priest.                                                         --- Sabes que mais?
You know what? Take a day off.                                                        --- Tira um dia de folga... e não venhas à missa amanhã.
Some people'd say the most important thing a fighter can have is heart.               --- Alguns diriam que a coisa mais importante... que um lutador pode ter é o coração.
Frankie'd say," Show me a fighter with nothing but a heart, and I'll show you a man waiting for a beating." --- O Frank diria: Um lutador que só tem coração... é o candidato ideal para uma belo combate.
Think I only ever met one fighter who was all heart.                                  --- Acho que só conheci um lutador que só tinha coração.
My name's Dangerous Dillard Fightin´ Flippo Bam- Bam Barch out of Broward County, Texas! --- O meu nome é" Perigoso Lutador Bang- Bang Barch" do Texas.
Danger showed up a couple of years back.                                              --- O" Perigo" apareceu há uns dois anos atrás.
He'd come visiting LA with Ervel, his mama's new boyfriend. Apparently Ervel got lost and ended up back in Texas. --- Ele veio visitar Los Angeles com o Erville, o novo namorado da mãe, aparentemente o Erville perdeu-se... e foi parar de volta ao Texas.
Danger looked for him for about a week'fore he introduced himself.                    --- O" Perigo" procurou-o durante cerca de uma semana, antes de se apresentar. Ei!
You know, I gots nothin´ against niggers...                                           --- Sabe... eu não tenho nada contra negros.
Well, that's nice to hear.                                                            --- - É muito bom ouvir isso. - Sim.
Yeah. Yeah.                                                                           --- Muita gente, de onde venho, não gosta de negros.
Lots of people where I comes from does, but my mama taught me not to cause hurt to no man, niggers or not. --- Mas a minha mãe ensinou-me a não prejudicar ninguém, negro ou não. Tens uma boa mãe.
You got a nice mama.                                                                  --- Mais alguma coisa que possa fazer por ti?
Anything else I can do for you? Just one of those questions, but Danger wanted to give it his best answer. --- Foi apenas uma pergunta qualquer, mas o" Perigo" quis dar a sua melhor resposta.
Well, sir, I'd likes to become the Welterweight Champion of the world.                --- Bem, senhor, eu gostaria de me tornar... o campeão mundial dos pesos-médios.
And I challenge the Motor City Cobra, Thomas" Hit Man" Hearns, to fight me for the Welterweight Championship of the whole world! --- E desafio... o cobra de Motorcity..." Thomas batedor" Hearns... para me enfrentar... pelo campeonato mundial dos pesos-médios. Ei, fecha essa boca!
Yo, Flip, shut up, man!                                                               --- Nem estás no ranking.
You ain't even ranked. You got to have at least one fight to be ranked.               --- Tens que lutar pelo menos uma vez... para entrar no ranking.
Hey, I'll fight any man, anytime!                                                     --- Eu luto com qualquer um a qualquer hora!
Hey you a bad man huh?                                                                --- És muito mau, hein?
Hey, come on, get in the ring.                                                        --- Entra no ringue, faz um" round" comigo.
Go a round with me.                                                                   --- Shahrelle!
Shawrelle...                                                                          --- Eu vou.
I will.                                                                               --- Deixa-o em paz.
Danger, you go on back to training.                                                   --- " Perigo". Volta ao treino. Ok, Sr.
Will do, Mr.                                                                          --- Scrap.
Ow!                                                                                   --- Que calções porreiros," Perigo".
I'll give you that ass-whoopin´ later, Olive Oyl.                                     --- Dou-te a tal tareia mais tarde, Azeite.
Those pants look real pretty on you bro.                                              --- Esses calções ficam-te mesmo bem.
Give his mama back her tights.                                                        --- Devolve os calções à tua mãe.
Shawrelle Berry had a left hook that would move a tank, but he had a heart the size of a split pea. --- Shahrelle Berry... tinha um gancho de esquerda... que tiraria um tanque do lugar... mas tinha um coração... do tamanho de uma ervilha partida ao meio.
Frankie bought the Hit Pit from Bobby Malone 17 years ago.                            --- O Frankie tinha comprado a Rainha da Porrada... ao Bobby Malone há 17 anos.
Bobby wanted to move to Florida and Frankie wanted some security.                     --- O Bobby queria mudar-se para a Florida... e o Frankie queria um pouco de segurança.
Bobby died while he was packing.                                                      --- O Bobby morreu enquanto fazia as malas.
Frankie found out most gyms lose money.                                               --- E o Frankie descobriu que... a maioria dos ginásios davam prejuízo.
I thought I told you I didn't want Danger working out here anymore.                   --- Pensei que tinha dito que não queria mais... o" Perigo" a treinar aqui!
Oh, he ain't hurtin´ nothin', Frankie.                                                --- Ele não está a magoar ninguém, Frankie. Ele está a magoar-me.
Well, he's hurtin´ me. Breakin´ my heart watchin´ him punch the air like it's going to punch back. --- Parte-me o coração Vê-lo a bater no ar, como se o mesmo fosse bater de volta.
And how many times have I got to tell you that bleach is bleach?                      --- E quantas vezes tenho que dizer que... lixívia é lixívia?
Why can't you just buy the cheap stuff?                                               --- Por que não compras da barata?
You don't always have to buy expensive stuff.                                         --- Só compras a cara. Esta cheira melhor, Frankie.
It smells better, Frankie.                                                            --- Lixívia tem cheiro a lixívia.
Hey, Scrap.                                                                           --- - Então, Scrap. - Então, Sr.
Hey, Mr.                                                                              --- Willie.
Big Willie.                                                                           --- - Willie! - Então, Sally.
- Nice fight. - thanks, man.                                                          --- - Obrigado. Depois falamos.
What the hell kind of language is that?                                               --- Que diabo de linguagem é essa?
What do you want?                                                                     --- O que é que queres?
I just thought you might like to know you got a fighter out there not talking to another manager. --- Só achei que gostarias de saber que... há um lutador que não fala com outro empresário.
Not talking to another manager?                                                       --- Não fala com outro empresário? E não é" qualquer empresário"
Mickey Mack.                                                                          --- É o Mickey Mack
You came in here to tell me that Big Willie is not talking to Mickey Mack.            --- Vieste aqui para me dizer que... o Grande Willie não fala com o Mickey Mack. Nem uma palavra.
Not a word.                                                                           --- De nenhum dos dois.
Neither one of´em. I'm trying to read here.                                           --- Estou a tentar ler!
Well, if you think that's more important...                                           --- Bem, se achas que isso é mais importante.
Who's your new girl?                                                                  --- Quem é a tua nova miúda?
What?                                                                                 --- O quê?!
Jesus Christ.                                                                         --- - Jesus Cristo.
Better hurry up. If she keeps hitting it like that, she gonna break her wrists.       --- - É melhor te apressares... se ela continuar a bater assim, vai partir os pulsos.
youre wasting your time.                                                             --- Estás a perder o teu tempo. Já te disse que não treino raparigas.
- I told you I don't train girls.                                                     --- Achei que talvez mudasse de ideia.
- Thought you might change your mind. There's dozens of trainers who train girls.     --- Há dezenas de treinadores que treinam miúdas, não vai ser difícil encontrares um.
You won't have any trouble finding one. Don't hardly need a dozen, boss.              --- Não preciso de dezenas, chefe, você serve.
You'll do fine.                                                                       --- Não me chames de chefe.
Don't call me boss, now.                                                              --- Eu não sou teu chefe.
I'm not your boss, and don't you be calling me that.                                  --- Não me chames isso. - Willie, estás pronto para trabalhar?
- Willie, you ready to work?                                                          --- - Sim, senhor.
- Anytime. If I stop calling you boss, will you train me?                             --- Se eu parar de o chamar chefe, treina-me?
No.                                                                                   --- Não!
I might as well just keep calling you it.                                             --- Então, é melhor continuar a chamá-lo.
She came from southwestern Missouri, the hills outside the scratch-ass Ozark town of Theodosia, set in the cedars and oak trees somewhere between nowhere and good-bye. --- Ela veio do sudoeste do Missouri. Dos montes na periferia da cidade de Ozark em Theodosia. No meio de cedros e carvalhos, nalgum lugar entre Lugar Nenhum e Adeus.
She grew up knowing one thing, she was trash.                                         --- Ela cresceu a saber uma coisa. Ela era lixo.
It's for my dog.                                                                      --- É para o meu cão.
She'd come 1800 miles, but Theodosia was still just over the hill.                    --- Ela andou 1800 milhas, mas Theodosia ainda estava para além dos montes.
Workin´ the bag, boss.                                                                --- Estou a trabalhar com o saco, chefe. Não sou o teu chefe.
Not your boss... and that bag's working you.                                          --- E esse saco está-te a dar trabalho.
Give her her money back.                                                              --- Devolve-lhe o dinheiro.
You sure?                                                                             --- Tens a certeza? Quanto foi que ela pagou?
How much did she pay?                                                                 --- Seis meses.
Six months. Oh, Jesus Christ.                                                         --- Jesus Cristo!
No I'll just give it back.                                                            --- Eu devolvo. Não te armes em engraçadinho, ok?
Don't be a smart-ass now, will you? Woman thinks I'd throw away six months´ dues just to get rid of her, she's out of her mind. --- Se ela acha que vou atirar 6 mensalidades fora... só para me livrar dela.
- But just don't encourage her, understand?                                           --- Mas não a incentives, entendeste? O que é que o" Perigo" está a fazer ali?
And what's Danger doing out there?                                                    --- Para onde é que ele está a olhar?
Looks like a bottle of water.                                                         --- Parece uma garrafa de água.
He paid his dues?                                                                     --- - Ele pagou a mensalidade? - Mensalidade?
Dues? Boy can't afford pants.                                                         --- Ele não consegue comprar nem umas calças, vai pagar a mensalidade?
Want him to pay dues? Get out of my office.                                           --- Sai da minha sala.
Can't think of it as a bag.                                                           --- Não podes encará-lo como um saco.
I'm not a trainer, but I can show you this, if you'd like.                            --- Não sou um treinador, mas... posso te mostrar isso se quiseres.
Appreciate any help I can get.                                                        --- Agradeço qualquer ajuda.
Let's see. What you want to do is you want to think of it as a man, see?              --- Tens que encará-lo como um homem, ok?
And he's constantly moving. He's moving towards you.                                  --- Um homem sempre a mexer-se, na tua direcção, em volta, para longe.
He's moving around you.                                                               --- Ok?
He's moving away from you, all right? You don't want to hit him when he's coming towards you cos what he's going to do is push you back. --- Não lhe batas quando ele estiver a vir na tua direcção, porque aí, ele vai-te empurrar para trás,
He's going to smother your punches, take your balance, right?                         --- Ele vai amortecer os teus murros. Tirar-te o poder. Então, olha-o com cuidado,
So watch him carefully.                                                               --- Fica a rodar
Keep rotating, that keeps your head moving, and keep one shoulder back so you're always ready to fire a power shot. --- Mantém a cabeça em movimento, E um ombro para trás, assim estás sempre pronta para dar uns bons murros. Certo?
Right?                                                                                --- Vai em frente.
Go ahead, now.                                                                        --- Bom. Bom.
Good, good. Keep rotating.                                                            --- Fica a rodar, fica em movimento.
Keep moving.                                                                          --- É assim mesmo. Bom. Bom.
That's it. Good, good.                                                                --- Mantém o queixo para dentro.
Keep that chin tucked in. Come on around.                                             --- Dá a volta, fica em movimento.
Keep moving, keep moving.                                                             --- Fica em movimento. - Bom. Bom. bom.
Good, good, good, good.                                                               --- - Assim?
- Like that?                                                                          --- Sim.
- Yeah.                                                                               --- Continua o movimento e dá uns murros.
Tuck that chin in, now.                                                               --- Mantém o queixo para dentro. Para dentro.
That's good.                                                                          --- Muito bem. Muito bem.
That's good. Now, you get this down, we'll put you on the speed bag.                  --- Quando aprenderes isso... nós pomos-te no saco de rapidez.
You do have a speed bag?                                                              --- Tens um saco de rapidez?
I'll just borrow it till I can buy my own.                                            --- Assim que puder comprar um, eu devolvo. Agora vai para casa.
All right, you go on home now.                                                        --- Vai embora também?
I'll walk out with you?                                                               --- Não. Já estou em casa.
No, I am home.                                                                        --- - Queres ver?
Want to see?                                                                          --- - Sim.
It's nice.                                                                            --- É porreiro.
Would it bother you much if I worked a little longer?                                 --- Incomodava muito se eu treinasse um pouco mais?
No, just... pull the door closed when you leave.                                      --- É só... fechar a porta quando saíres.
Thank you.                                                                            --- Obrigada.
If there's magic in boxing, it's the magic of fighting battles beyond endurance, beyond cracked ribs, ruptured kidneys and detached retinas. --- Se existe magia no boxe. É a magia de travar batalhas acima da própria resistência, acima de costelas partidas, rins partidos e retinas deslocadas.
It's the magic of risking everything for a dream that nobody sees but you.            --- É a magia de arriscar tudo por um sonho que só tu vês.
OK, come on.                                                                          --- Vamos, trabalha os pés.
Watch the footwork.                                                                   --- É assim mesmo.
Hey, Flip.                                                                            --- Ei, pancadinha? Ei, Pancadinha.
Hey, Flippy, come here, man.                                                          --- Anda cá um minuto, pá.
I think I found somebody you can beat.                                                --- Acho que encontrei alguém que podes derrotar.
I don't fights women.                                                                 --- Eu não luto com mulheres.
Why not, bro?                                                                         --- Porque não.
It's perfect, bro, cos you know why?                                                  --- É perfeito, sabes porquê? Porque ela. Ei, tu!
Cos she-nah, you-you could fight to him and then you could kiss to him, and then you could fight to him one more time. --- Podias lutar com ele, e beijá-lo, e lutar com ele ao mesmo tempo. Isso é bonito.
That's beautiful, man.                                                                --- Parece poesia.
That's like poetry.                                                                   --- Parece poesia?
- It's like poetry.                                                                   --- - Andaste a ler essas bostas.
- You been reading and shit. thanks, bro.                                             --- - Obrigado, mano.
That's a girl, man?                                                                   --- Isto é uma miúda?
I'll be damn, Flip.                                                                   --- Acho que tens razão.
I think you right.                                                                    --- Olha estas maminhas minúsculas.
Look at her little bitty titties.                                                     --- Parecem picadas de mosquito.
They're like mosquito bites.                                                          --- Quase não dá para encher a boca.
Geez, man, there's barely even a mouthful. Saw your last fight, Shawrelle.            --- Eu vi o teu último combate, Shawrelle...
Spent so much time face down, I thought the canvas had titties.                       --- Passaste tanto tempo a beijar a lona... que pensei que a lona tinha mamas.
Canvas has titties.                                                                   --- A lona tinha mamas?
Hey, look at me.                                                                      --- Ei, olha para mim, sou o Shawrelle!
Just humping the canvas.                                                              --- Só estou a foder a lona, a foder com o chão.
Come on, bro, the floor is having titties?                                            --- Vamos, mano, lona com mamas, isso é engraçado, mano.
That's funny, bro.                                                                    --- Cala-te!
Shut up, man.                                                                         --- Estão a rir de quê?
What you laughing at? Man, hold the bag, stupid.                                      --- Segura o saco, estúpido.
Yo, when they start making those tights for men, Flippy?                              --- Ei, quando é que vão começar... a fazer isso para homens, pancadinha. Cretino.
All right, that's enough.                                                             --- Ok, chega. chega por hoje.
- I'll give you a rubdown.                                                            --- Vou te dar uma massagem? Não posso, Frankie.
- Oh, I can't, Frankie. My middle one's got a piano lesson.                           --- O do meio tem aulas de piano... e eu disse à Grace que o levava.
I told Gracie I'd drive her. Oh.                                                      --- Há algo de errado com o carro da Grace?
Something wrong with Gracie's car?                                                    --- Ela odeia o carro.
She hates that car. Wants the old one back, but the dealer won't do it.               --- Ela quer o velho de volta mas o vendedor não o devolve.
- Said he's already got a buyer.                                                      --- Talvez eu deva falar com o vendedor.
- Maybe I should talk to the dealer. I'd appreciate that.                             --- Eu ficaria grato.
OK.                                                                                   --- Ok. - Obrigado.
Thanks.                                                                               --- - Até logo.
The man's a rubdown whore.                                                            --- Adora massagens, e hoje não quer uma.
You ever do any work around here?                                                     --- Fazes algum trabalho hoje?
Not my job I'd worry about, if I was you.                                             --- Eu não estaria preocupado com o meu trabalho, se fosse tu.
Little girl seems to be coming along.                                                 --- A miúda parece estar a ir muito bem.
Yeah.                                                                                 --- Sim.
It's almost like someone's been helping her.                                          --- Até parece que alguém a está a ajudar.
She might just be a natural.                                                          --- Pode ser que ela tenha jeito naturalmente.
Looks like she's got something.                                                       --- Parece que ela tem qualquer coisa.
She's got my speed bag, that's what she's got.                                        --- Ela está com o meu saco de rapidez, é isso que ela tem.
I wonder how the hell she got that.                                                   --- Como será que ela conseguiu aquilo?
I wonder.                                                                             --- Como será mesmo, não é?
I'm going to need that speed bag back.                                                --- Preciso do meu saco de rapidez de volta.
- This bag?                                                                           --- - Este saco?
- Yes, that bag.                                                                      --- - Sim, esse saco.
That's my bag, and if you're hitting it, people will think I'm training you.          --- É meu. Se lhe continuares a bater, vão pensar que eu te estou a treinar.
Is that such a bad thing, boss?                                                       --- Isso é tão mau assim, chefe? Sim, é.
Yes, yes, it is. Every time you touch it, you're losing me business out here.         --- Todas as vezes que tocas nele, eu perco a freguesia.
I gotta agree, I am embarrassing myself.                                              --- Tenho que concordar que... estou a embaraçar-me a mim própria.
Yeah. Well, I can't just lend it to anybody, you know.                                --- Não posso emprestá-lo a qualquer um, sabes?
I understand.                                                                         --- Eu percebo.
Look, you seem like a nice girl.                                                      --- Pareces porreira. - Posso dar-te um conselho?
- Can I give you some advice?                                                         --- - Eu ficaria agradecida.
- I'd appreciate that. You're going to find a trainer, either here or somewhere else, that's going to want to train a girl. --- Vais encontrar um treinador nesta academia... ou noutro lugar que queira treinar uma rapariga.
It's the latest freak show out there.                                                 --- Esta é a última moda por aí.
But the trouble is, they're going to be wasting your time because you're too old.     --- Mas o problema é que... vão desperdiçar o teu tempo pois és velha demais.
I don't feel that old.                                                                --- Eu não me sinto tão velha.
Well, neither do I, but you don't see me fighting 21- year-olds, do you?              --- Nem eu, mas tu não me vês... a lutar contra homens de 21 anos, não é?
Takes about four years to train a fighter.                                            --- Leva uns 4 anos para... treinar um lutador.
How old are you?                                                                      --- Quantos anos tens?
- 31... until my next birthday.                                                       --- 31 até ao meu próximo aniversário.
- Oh well, there you go.                                                              --- Estás a ver.
31.                                                                                   --- 31.
You wouldn't start training to be a ballerina at 31, now, would you?                  --- Não ias começar a treinar para ser bailarina aos 31, não é?
Already been working it for three years.                                              --- Estou a trabalhar nisto há 3 anos. E nem consegues bater num saco de rapidez?
And you can't hit a speed bag? What kind of training is that?                         --- Que tipo de treino é esse?
I've never had any, boss.                                                             --- Ninguém me treinou, chefe.
Well, I hate to say it, but it shows.                                                 --- Odeio dizer isto, mas nota-se.
Somebody's gotta be honest with you.                                                  --- Alguém tem que ser honesto contigo.
I hate to be the one to tell you the truth.                                           --- Odeio ser aquele que fala a verdade.
Yeah.                                                                                 --- Sim... bem...
Well, sorry for using your bag, Mr.                                                   --- Desculpe ter usado o seu saco de rapidez, Sr. Dunn.
You're not going to cry now, are you?                                                 --- - Não vais chorar, não? - Não, senhor.
No, sir.                                                                              --- É assim mesmo.
Here.                                                                                 --- Toma.
Keep the goddamn thing.                                                               --- - Fica com essa maldita coisa! - Não, o senhor precisa dela.
- No, you need it.                                                                    --- Não! Fica com o saco!
- No, take the bag. I haven't seen it in 20 years, anyway.                            --- Há 20 anos que não o vejo, de qualquer forma.
I've had three since then.                                                            --- Já tive três depois desse.
Just uh... just enjoy it, will you?                                                   --- Apenas... Desfrute dele, ok?
I'll just borrow it till I buy my own.                                                --- Só vou ficar com ele até comprar o meu. Ok.
Yeah. Just don't lose it.                                                             --- Só não o perca.
Yeah, I know, Hogan.                                                                  --- Eu sei, Hogan.
Your guy's the champ, so we don't split fifties.                                      --- O teu homem é o campeão, então nós não dividimos.
But if I don't see 40%...                                                             --- Mas se não me deres 40%...
Look, you call me back when it's 60- 40, or don't call me back at all.                --- Olha, liga-me quando aceitares 60- 40 ou então não me ligues.
Hey, Willie.                                                                          --- - Então, Willie. - Então, Frankie.
- Hey, Frankie.                                                                       --- Passa-se alguma coisa?
- Is something wrong? I'm sorry to come by your house like this.                      --- Desculpe vir à sua casa assim.
I - I know you don't like people dropping in.                                         --- Eu sei que não gosta que o venham visitar sem avisar. Mas tu não és qualquer um, Willie.
Oh, you're not people, Willie.                                                        --- És bem vindo a qualquer hora.
You're welcome anytime.                                                               --- Entra.
Come on in.                                                                           --- Eu queria agradecer por ter recuperado o carro da Grace.
I want to thank you for getting Gracie's car back. Oh, well, you don't have to thank me. Paying an extra thousand dollars for your own car ain't exactly a favor. --- Não precisas agradecer, pagar mais...$1000 pelo teu próprio carro não é exactamente um favor.
Gracie broke out and cried when she saw it.                                           --- A Grace começou a chorar quando o viu. Ai é?
Really? I also needed to talk with you about business.                                --- Eu também queria falar consigo sobre negócios.
Oh, well, I just got off the phone with Hogan.                                        --- Acabei de falar com o Hogan. Está tudo arranjado para Setembro.
We're all set for September.                                                          --- Só falta combinar como vamos dividir.
Everything but the split. I gotta leave you, Frankie.                                 --- Tenho que o deixar, Frankie
Willie, the... the title is just two fights away.                                     --- Willie... o título está a dois combates. Não é isso.
It ain't that. It's...                                                                --- É como disse.
It's like you said, I got one shot.                                                   --- Eu tenho uma hipótese.
If I win, I gotta make as much as I can while I can.                                  --- Se eu ganhar, tenho que aproveitar enquanto posso.
I need somebody in the action, who can make things happen.                            --- Preciso de alguém que se mexa... que faça as coisas acontecerem. E tenho que fazer a troca antes do combate.
And I gotta make the change before the fight. Only way this guy say he'd take me is if he took me to the title. --- A única maneira de ele me aceitar foi se me levasse a lutar pelo título.
So, I get you to the title fight, and this guy takes you there?                       --- Então, eu consigo a luta pelo título... e esse gajo é que te leva lá.
Only way he'd do it.                                                                  --- Foi a única maneira dele aceitar.
I'm sorry, Frankie.                                                                   --- Tenho muita pena, Frankie.
I know how long you've been waiting on a title.                                       --- Não estou mais à espera do título, gostava que estivesse lá comigo.
Mickey Mack's a businessman.                                                          --- O Mickey Mack é um homem de negócios, ele não te pode ensinar nada.
He can't teach you nothing. You already taught me everything I need to know.          --- Já me ensinou tudo o que eu preciso saber.
There's some things people just don't want to hear.                                   --- Isto é algo que ninguém quer ouvir.
And I challenge the Motor City Cobra, Thomas" Hit Man" Hearns, to fight me for the Welterweight Championship of the whole world. --- E eu desafio a cobra de Motorcity..." Thomas batedor" Hearns para me enfrentar... pelo campeonato mundial dos pesos-médios.
Danger, I'm wearing these mitts for a reason.                                         --- " Perigo", estou a usar estas mitenes por uma razão.
Just working on my footwork, Mr.                                                      --- Só estou a trabalhar os pés, Sr. Scraps.
Danger, you throw a punch or get the hell out of this gym.                            --- " Perigo", dás um murro ou sais deste ginásio.
Danger, while you thinking about that punch, I'll be right back.                      --- " Perigo", enquanto pensas no murro, eu volto já.
I'm... I'm thinking how I'm gonna hit it hard for you, Mr.                            --- Estou a pensar no quanto vou bater forte, Sr.
No one had the heart to tell Danger that Hearns retired years ago.                    --- Ninguém tinha coragem de dizer ao" Perigo"... que o Hearns se tinha retirado há anos.
I heard about Willie.                                                                 --- Fiquei a saber do Willie. Foste frio, muito frio.
That's dead cold. Course, it wouldn't be so bad if you weren't so damn old.           --- Não seria tão mau se não fosses tão velho.
Yeah. At least I can see through both eyes.                                           --- Sim, mas pelo menos vejo com os dois olhos.
Yeah, mm-hm.                                                                          --- Não te adiantou nada, não é?
Didn't do you a lot of good though, did it? Well, I've got the gym.                   --- Bem, eu tenho o ginásio.
Don't need to be training fighters at my age.                                         --- Não preciso de ficar a treinar lutadores com a minha idade.
Willie tell you why?                                                                  --- O Willie disse-te o porquê? Por causa do Mickey.
It was Mickey.                                                                        --- Ele tem os contactos.
Mickey's got the connections. It ain't about connections, Frank.                      --- Não são contactos, Frankie, é por tu não acreditares nele.
It's about you not believing in him. Well, I found him. I stuck with him for eight years. --- Bem, eu encontrei-o e fiquei com ele 8 anos, chamas a isso de não acreditar?
How's that for not believing in him? You could've got him a title fight two years ago. --- Podias ter arranjado um combate pelo título... há 2 anos atrás,
Hell, he knew that. I'm amazed he stayed this long.                                   --- Fico admirado por ele ter ficado contigo este tempo todo.
Yeah, well, getting there and taking home the belt are two different things.          --- Bem, chegar até lá... e ganhar o cinturão são duas coisas bem diferentes. O que querias que eu fizesse?
