He is coming.                                                                         --- Ele vem aí.
A "Special One"?                                                                      --- Um "Escolhido"?
What a bunch of hippie-dippie baloney.                                                --- Que grande patranha.
Good morning, apartment!                                                              --- Bom dia, apartamento!
Good morning, doorway!                                                                --- Bom dia, porta!
Good morning, wall.                                                                   --- Bom dia, parede.
Good morning, ceiling.                                                                --- Bom dia, tecto.
Good morning, floor!                                                                  --- Bom dia, chão!
Ready to start the day!                                                               --- Estou pronto para começar o dia!
Ah, here it is!                                                                       --- Aqui estão!
"Instructions to fit in... have everybody like you... and always be happy!            --- "Instruções para integrar-se, para que todos gostem de si e ser sempre feliz.
Step one:                                                                             --- Passo um:
Breathe."                                                                             --- Respire."
Okay, got that one down.                                                              --- Pronto, este já está.
Greet the day, smile and say..."                                                      --- "Passo dois: Saúde o dia, sorria e diga:"
Good morning, city!                                                                   --- Bom dia, cidade!
- Good morning, city!                                                                 --- -Bom dia, cidade!
- Good morning, city!                                                                 --- -Bom dia, cidade!
- Good morning, city!                                                                 --- -Bom dia, cidade!
- Top of the morning to you there, city!                                              --- -Desejo-te um óptimo dia, cidade!
- Good morning, city!                                                                 --- Bom dia!
How you doing?                                                                        --- Como estás?
- Good morning, city!                                                                 --- Bom dia, cidade!
Exercise."                                                                            --- "Passo três: Faça exercício."
Jumping jacks.                                                                        --- Saltar.
Hit them!                                                                             --- Vamos a isto!
One!                                                                                  --- Um!
Two!                                                                                  --- Dois!
Three!                                                                                --- Três!
I am so pumped UP!                                                                    --- Estou cheio de energia!
Shower."                                                                              --- "Passo quatro: Duche."
And always be sure to keep the soap out of your...!                                   --- 
Aah! Shave your face.                                                                 --- 
Brush your teeth.                                                                     --- Lave os dentes.
Comb your hair.                                                                       --- Penteie o cabelo.
Hmm.                                                                                  --- 
"Wear clothes."                                                                       --- "Vista a roupa."
Oop! I almost forgot that one!                                                        --- Já me ia esquecendo!
No.                                                                                   --- Não.
No.                                                                                   --- Não.
Uh-uh.                                                                                --- Não.
No.                                                                                   --- Esta não.
Not that.                                                                             --- Não pode ser.
Wrong. And that's it.                                                                 --- E já está tudo.
Check. Eat a complete breakfast... with all the special people in your life.          --- Passo nove: Tome um pequeno-almoço completo com todas as pessoas especiais da sua vida.
Hey, Plantie, what do you wanna do this morning?                                      --- 
Watch TV?                                                                             --- Ver televisão?
Me too!                                                                               --- Também eu!
Hi, I'm President Business... president of the Octan Corporation and the world.       --- Viva, sou o Presidente de Negócios.
Let's take extra care to follow the instructions, or you'll be put to sleep.          --- Sigam bem as instruções ou terão um destino infeliz.
And don't forget Taco Tuesday's coming next week!                                     --- Atenção: para a semana é a Terça dos Tacos!
That's the day every rule-following citizen gets a free taco and my love!             --- Os bons cidadãos recebem um taco grátis e a minha simpatia!
Have a great day, everybody!                                                          --- Desejo um óptimo dia a todos!
You have a great day too, President Business.                                         --- Para sim também, Presidente de Negócios.
Man, he's such a cool guy.                                                            --- Ele é um tipo fixe.
I always wanna hear more of what...                                                   --- Quero sempre saber mais sobre...
Wait, did he say "put to sleep"?                                                      --- Espera, ele disse "destino infeliz"?
Tonight on Where Are My Pants?                                                        --- Hoje em "Onde Estão As Minhas Calças?"
Honey, where are my pants?                                                            --- Querida, onde estão as minhas calças?
What was I just thinking?                                                             --- Em que estava a pensar?
I don't care.                                                                         --- Não me interessa.
Greet your neighbors."                                                                --- "Passo 11: Cumprimente os vizinhos."
- Hey, Joe.                                                                           --- -Olá, Joe.
- Hey, pal.                                                                           --- -Viva, amigo.
Whoa! Hey, Surfer Dave.                                                               --- -Olá, Surfista Dave.
Hey, brah.                                                                            --- -Olá, mano.
- Oh, good morning, Sherrie.                                                          --- -Bom dia, Sherrie.
- Hey, fella. - Oh, hey, Jasmine, Dexter.                                             --- Olá, Jasmine, Dexter.
- Meow.                                                                               --- 
Meow. - Angie, Loki, Bad Leroy.                                                       --- 
- Meow.                                                                               --- 
Meow.                                                                                 --- 
Meow. - Fluffy, Fluffy Junior, Fluffy Senior.                                         --- 
- Meow.                                                                               --- 
Meow.                                                                                 --- 
Meow.                                                                                 --- 
- Jeff.                                                                               --- Jeff.
- Meow. Obey all traffic signs and regulations.                                       --- Passo 12: Obedeça aos sinais de trânsito e normas.
Enjoy popular music.                                                                  --- Passo 13: Desfrute da música pop.
Top of the charts again...  - ...it's "Everything ls Awesome.                         --- Outra vez no topo das tabelas está "Tudo é Fixe".
" - Oh, my gosh, I love this song!                                                    --- Meu Deus, adoro esta canção!
Everything is awesome                                                                 --- Tudo é fixe
Everything is cool                                                                    --- Tudo é porreiro
When you're part of a team                                                            --- Quando estamos numa equipa
Everything is awesome                                                                 --- Tudo é fixe
When we're living our                                                                 --- Quando vivemos o nosso
Dream                                                                                 --- Sonho
Always use a turn signal.                                                             --- Usar sempre o pisca-pisca.
Park between the lines.                                                               --- Estacionar em linha.
Yes! Drop off dry-cleaning before noon.                                               --- Levar a roupa à lavandaria antes do meio-dia.
Read the headlines.                                                                   --- Ler as manchetes.
Don't forget to smile.                                                                --- Não esquecer de sorrir.
Always root for the local sports team.                                                --- Apoiar sempre a equipa local.
Go, Sports Team!                                                                      --- Força, Equipa Desportiva!
Always return a compliment.                                                           --- Agradecer os elogios.
- Hey, you look nice.                                                                 --- -Estás com bom aspecto.
- So do you!                                                                          --- -Também tu!
Drink overpriced coffee.                                                              --- Beber café muito caro.
Here you go.                                                                          --- 
That's $37.                                                                           --- São 37 dólares.
Awesome!                                                                              --- Fixe!
Everything is awesome                                                                 --- Tudo é fixe
Did you see Where Are My Pants?                                                       --- Viste Onde Estão As Minhas Calças?
last night?                                                                           --- ontem à noite?
"Honey, where's my pants?"                                                            --- 
Classic episode.                                                                      --- Foi um episódio memorável.
Everything is awesome Instructions coming in from Central.                            --- Tudo é fixe NOVAS INSTRUÇÕES
Okay, it says here to take everything weird and blow it up.                           --- Diz que temos de recolher tudo o que é estranho e mandar pelos ares.
All right, Cylinderheads... let's make it look like it does in the instructions!      --- Muito bem, Cabeças de Cilindros, vamos fazer como está nas instruções!
Hey, buddy!                                                                           --- Olá, amigo!
I need a 1-by-2 key hole.                                                             --- Quero um buraco para uma peça 1X2.
No problem, Michael.                                                                  --- Tudo bem, Michael.
We need a 2-by-2 macaroni.                                                            --- Precisamos de uma peça 2x2.
2-by-2 macaroni flying in.                                                            --- Peça 2x2 a caminho.
Here's one.                                                                           --- Aqui está uma.
Guys, got a 1-by-1 with an indented stud on one side.                                 --- Pessoal, tenho uma 1x1 com um suporte recortado lateral.
- Cheese slopes.                                                                      --- -Peças em cunha.
Come on, everybody.                                                                   --- Vamos, pessoal.
- Roger that, Roger.                                                                  --- -Percebido, Roger.
Look alive, coming at you.                                                            --- Cuidado, vamos na tua direcção.
Can I get a couple LURPs over here?                                                   --- Mandem-me umas peças rocha.
- Thanks, Gail.                                                                       --- -Obrigado, Gail.
- Guys, watch me drill this down.                                                     --- -Vejam-me a perfurar isto.
Everything is awesome                                                                 --- Tudo é fixe
Everything is cool When you're part of a team                                         --- Tudo é porreiro Quando estamos numa equipa
Everything is awesome                                                                 --- Tudo é fixe
When we're living our dream                                                           --- Quando vivemos o nosso sonho
Have you heard the news?                                                              --- Estou de olho em vocês!
Everyone's talkin'                                                                    --- 
Life is good Because everything's awesome                                             --- 
Man, I feel so good right now!                                                        --- Sinto-me tão bem agora!
I could sing this song for hours!                                                     --- Podia cantar isto durante horas!
Everything is awesome                                                                 --- Tudo é fixe
When we're living our dream                                                           --- Quando vivemos o nosso sonho
When you're part of a team!                                                           --- Quando estamos numa equipa!
Yeah!                                                                                 --- Boa!
I'm going to the sports bar after work tonight.                                       --- Vou até ao bar desportivo depois do trabalho.
Who wants to eat some delicious chicken wings and get crazy?                          --- Quem é que quer comer asas de galinha e divertir-se?
Chicken wings?                                                                        --- Eu adoro asas de galinha!
I love chicken wings!                                                                 --- Eu adoro asas de galinha!
Hey, who wants to share a croissant with this guy?                                    --- Quem quer partilhar um croissant com este tipo?
Croissants?                                                                           --- Croissants?
I love croissants.                                                                    --- Eu adoro croissants.
Oh, yeah! I sure do love giant sausages.                                              --- Eu adoro salsichas grandes.
Giant sausages?                                                                       --- Salsichas grandes?
No way!                                                                               --- A sério?
You know what I love to do?                                                           --- Sabes o que eu adoro fazer?
Is share a meal with the special people in my life.                                   --- Partilhar a refeição com as pessoas de quem gosto.
Fred, Barry, Gail, me and you?                                                        --- Fred, Barry, Gail, querem vir?
Ah!                                                                                   --- 
No, wait, guys!                                                                       --- Não, esperem, malta!
Wait up!                                                                              --- Esperem aí!
Okay, I'll meet you there.                                                            --- Pronto, eu vou lá ter convosco.
Oh. Where did it go?                                                                  --- Para onde foi?
Oh, there you are.                                                                    --- Aqui estás tu.
I think I heard a whoosh.                                                             --- Pareceu-me ter ouvido um sopro.
Hey, pal, I hate to tell you this... but, uh, I don't think you're supposed to be here. --- Amigo, desculpe estar a maçá-lo, mas não pode estar aqui.
Yeah, the rules specifically state... work site closes at 6, it's a hard-hat area only. --- Sim, as regras dizem claramente que fechamos às 18 horas, o uso de capacete é obrigatório.
That's not official safety orange.                                                    --- Isso não é o cor-de-laranja de segurança oficial.
"If you see anything weird, report it immediately."                                   --- "Se observar algo estranho, comunicar imediatamente."
Well, I guess I'm gonna... have to report youuu... UUU... UUU... UUU... UUU... UUU... UUU... UUU... UUU... --- 
Where are you going?                                                                  --- Aonde vai?
Miss! I didn't mean to scare you!                                                     --- Não quis assustá-la!
I'm sor...                                                                            --- Descul...
Ow.                                                                                   --- 
Ow!                                                                                   --- 
Hey!                                                                                  --- 
Heh. That's not so bad.                                                               --- 
Yeow!                                                                                 --- 
Ooh!                                                                                  --- 
Aah!                                                                                  --- 
Aah!                                                                                  --- 
Ooh!                                                                                  --- 
Ow.                                                                                   --- 
Ow.                                                                                   --- 
Hey.                                                                                  --- Olá.
What is that?                                                                         --- O que é aquilo?
Come here.                                                                            --- Anda cá.
What do I do?                                                                         --- O que é que faço?
I don't have my instructions.                                                         --- Não tenho as minhas instruções.
Touch the Piece.                                                                      --- Toca na Peça.
Touch the Piece.                                                                      --- Toca na Peça.
Touch the Piece.                                                                      --- Toca na Peça.
I feel like maybe I should touch that.                                                --- Sinto que devia tocar naquilo.
It's so... interesting.                                                               --- É tão interessante.
Touch the Piece.                                                                      --- Toca na Peça.
It's so interesting.                                                                  --- É tão interessante.
Touch the Piece.                                                                      --- Toca na Peça.
Touch the Piece.                                                                      --- Toca na Peça.
- Touch the Piece. - Uh...                                                            --- Toca na Peça.
Touch the...                                                                          --- Toca na...
A Special One with face of yellow  Will make the Piece of Resistance found            --- Um Escolhido de cara amarela Irá encontrar a Peça da Resistência
From its hiding refuge underground                                                    --- Escondida no seu refúgio subterrâneo
What's going on down here?                                                            --- O que se passa aqui em baixo?
This MasterBuilder will thwart The Kragle and save the realm                          --- Este Mestre Construtor irá opor-se Ao Kragle e salvar o reino
Come on, Emmet!                                                                       --- Vamos, Emmet!
The Special has arisen.                                                               --- O Escolhido ergueu-se.
It's your turn to be the hero.                                                        --- É a tua vez de seres herói.
- Wake up.                                                                            --- Acorda.
- Ugh. Come on, wake up!                                                              --- Vamos, acorda!
Where are the MasterBuilders?                                                         --- Onde estão os Mestres Construtores?
How did you find the Piece of Resistance?                                             --- Como achaste a Peça da Resistência?
Eh? - Where are the others hiding?                                                    --- -Onde estão os outros?
- Good morning, apartment?                                                            --- -Bom dia, apartamento?
- Aah!                                                                                --- Acorda!
How did you find the Piece of Resistance?                                             --- Como achaste a Peça da Resistência?
The piece of what?                                                                    --- A peça do quê?
The Piece of Resistance.                                                              --- A Peça da Resistência.
I...                                                                                  --- 
I don't...                                                                            --- Onde estou?
Where am I?                                                                           --- O que se passa?
What's happening?                                                                     --- O que se passa?
"What's happening?"                                                                   --- "O que se passa?"
Playing dumb, MasterBuilder.                                                          --- Estás a fazer-te de parvo, Mestre Construtor?
No.                                                                                   --- Não...
I...                                                                                  --- 
"MasterBuilder"?                                                                      --- "Mestre Construtor?"
- Oh. So you've never heard of the prophecy?                                          --- -Nunca ouviste falar da profecia?
- No.                                                                                 --- -Não.
Or The Special?                                                                       --- 
No, no!                                                                               --- -Não, não!
You're a liar!                                                                        --- És um mentiroso!
We'll kill you!                                                                       --- Vamos matar-te!
Look, urn, I watch a lot of cop shows on TV.                                          --- Ouça, eu vejo muitos programas de polícias na TV.
Isn't there supposed to also be...?                                                   --- Também não é suposto existir um...
Isn't there supposed to be a good cop?                                                --- Não é suposto haver um polícia bom?
Oh, yes.                                                                              --- Sim.
But we're not done yet.                                                               --- Mas ainda não terminámos.
Hi, buddy!                                                                            --- Olá, amigo.
I'm your friendly neighborhood police officer!                                        --- Sou o polícia simpático do bairro!
- Would you like a glass of water?                                                    --- -Queres um copo de água?
- Yeah.                                                                               --- -Já agora.
Yeah, actually.                                                                       --- -Já agora.
Too bad.                                                                              --- Temos pena.
Security cameras picked up this.                                                      --- As câmaras registaram isto.
Unh! You were found at the construction site convulsing with a strange piece.         --- 
That's disgusting!                                                                    --- Isso é nojento!
Then why is it permanently stuck to your back?                                        --- Então, porque é que está colada permanentemente às tuas costas?
Get it off me!                                                                        --- Tirem-ma!
Get it off me!                                                                        --- Tirem-ma!
Aah!                                                                                  --- Não sai!
It won't come off!                                                                    --- Está a perseguir-me!
It's chasing me! Look, it's not my fault!                                             --- Ouça, eu não tenho culpa!
I have no idea how this thing got on my back!                                         --- Não sei como isto veio parar às minhas costas.
Of course, buddy. I believe you.                                                      --- Claro, eu acredito em ti.
Great.                                                                                --- Óptimo.
Aah! I "believe" you too.                                                             --- Eu também "acredito" em ti.
You see the quotations I'm making with my claw hands?                                 --- Estás a ver as aspas que estou a fazer com as mãos?
It means I don't believe you!                                                         --- Significa que não acredito em ti!
Why else would you show up with that thing on your back... just three days before President Business... is going to use the Kragle to end the world? --- Porque terias isso nas costas apenas três dias antes do Presidente de Negócios usar o Kragle para acabar com o mundo?
President Business is gonna end the world?                                            --- O Presidente de Negócios vai acabar com o mundo?
But he's such a good guy.                                                             --- Mas ele é tão boa pessoa.
And Octan, they make good stuff.                                                      --- E a Octan faz produtos bons.
Music, dairy products, coffee, TV shows... surveillance systems, all history books, voting machines. --- Música, lacticínios, café, programas de TV, câmaras de vigilância, todos os livros de história, sistemas de voto.
Wait a minute.                                                                        --- Espera aí.
Come on, you can't be this stupid.                                                    --- Então, não podes ser assim tão estúpido.
This is a misunderstanding.                                                           --- Isto é um mal-entendido.
I'm just a regular, normal, ordinary guy.                                             --- Eu sou apenas um tipo comum.
I'm late to meet my best friends in the whole world.                                  --- Estou atrasado para sair com os meus melhores amigos.
They're probably missing me right now.                                                --- Já devem estar a sentir a minha falta.
They're probably out looking around.                                                  --- Devem andar à minha procura.
"Hey, where's Emmet?                                                                  --- "Onde está o Emmet?
Hey, where's my best friend Emmet?"                                                   --- Onde está o meu melhor amigo?"
Hey, you know what?                                                                   --- Sabe o que mais?
Ask all my friends.                                                                   --- Pergunte aos meus amigos.
They'll tell you.                                                                     --- Eles dizem-lhe.
Oh, we asked them, all right.                                                         --- Podes crer que lhes perguntámos.
Boom! That guy's not a criminal mastermind.                                           --- 
See?                                                                                  --- Estás a ver?
Yeah. You know, he's kind of an average, normal kind of guy.                          --- Sabe, ele é um tipo comum, igual aos outros.
Thank you.                                                                            --- Obrigado.
But, you know, he's not, like... normal like us.                                      --- Mas, sabe, ele não é normal como nós.
No. He's not that special.                                                            --- Não é assim tão especial.
Wait, I'm so confused.                                                                --- Espere, estou confusa.
Who are we talking about?                                                             --- De quem é que estamos a falar?
Wait, does he work with us?                                                           --- Ele trabalha connosco?
Gail doesn't remember me?                                                             --- A Gail não se lembra de mim?
Look at Randy here.                                                                   --- Veja aqui o Randy.
He likes sausage.                                                                     --- Ele gosta de salsichas.
That's something.                                                                     --- Isso é alguma coisa.
Gail is perky.                                                                        --- A Gail é atrevida.
That's something.                                                                     --- Isso também é alguma coisa.
And Harry...                                                                          --- E o Harry...
- ...well...-                                                                         --- -Quando falam no Harry, eu:
When you say the other guy, I go:                                                     --- Quando falam no outro tipo, eu:
Harry's the best!                                                                     --- O Harry é fantástico!
- Harry's got personality.                                                            --- -O Harry tem personalidade.
- He's weird!                                                                         --- -Ele é estranho!
He's weird!                                                                           --- É estranho!
I know that guy but I know, like, zippy-zap about him.                                --- Eu conheço esse tipo, mas não sei nada sobre ele.
We just talked earlier.                                                               --- Ainda falámos há pouco.
I mean, all he does is say yes... to everything everybody else is doing.              --- Ele apenas concorda com tudo o que os outros estão a fazer.
You know, he's just sort of a "Hmm!"                                                  --- Sabe, é uma espécie de:
Little bit of a blank slate, I guess.                                                 --- Creio que não tem personalidade.
That'll be $42, please.                                                               --- São 42 dólares, por favor.
We all have something that makes us something and Emmet is... nothing.                --- Todos nós temos alguma coisa que nos define e o Emmet não tem... ...nada.
There you go.                                                                         --- Está a ver?
- I told you I was a nobody.                                                          --- Eu disse que era um zé-ninguém.
- Oh. It's the perfect cover.                                                         --- É o disfarce perfeito.
Cover?                                                                                --- Disfarce?
Cover for what?                                                                       --- Disfarce para quê?
I can't break him.                                                                    --- Não consigo que ele fale.
Take him to the melting chamber.                                                      --- Levem-no para a sala de fundição.
What?                                                                                 --- O quê?
Aah!                                                                                  --- O quê?
You're gonna melt me'?                                                                --- Vão derreter-me?
Am I gonna die?                                                                       --- Eu vou morrer?
You'll live.                                                                          --- 
You'll be fine.                                                                       --- Vais ficar bem.
President Business.                                                                   --- Presidente de Negócios.
I have him right here, sir.                                                           --- Ele está aqui mesmo.
Yes, we've told him he'll live so he doesn't try to escape, but, um... we're lying to him. --- Sim, dissemos-lhe que ele ia ficar vivo, para não tentar fugir, mas estamos a mentir-lhe.
Wait, what did he just say?                                                           --- O que foi que ele disse?
Hold still.                                                                           --- Não te mexas.
Wait!                                                                                 --- 
There's obviously been a mix-up here.                                                 --- Isto é um equívoco.
You've got the wrong...                                                               --- 
Ow!                                                                                   --- 
Ow, ow, ow!                                                                           --- 
That is gonna start hurting... pretty soon.                                           --- Têm a pessoa erra... Isso vai começar a doer muito em breve.
Ow, ow, ow!                                                                           --- 
No, no, no!                                                                           --- Não, não!
Whoa.                                                                                 --- 
Who are you?                                                                          --- Quem és tu?
It's you?                                                                             --- És tu?
Come with me if you wanna not die.                                                    --- Venha comigo se não quiser morrer.
Hi, everybody! How's the melting goi...?                                              --- Como está a correr a fundi...
Hey, hey, he)”                                                                        --- Então, então, então.
Red alert, red alert.                                                                 --- Alerta vermelho, alerta vermelho.
Everyone, to go after The Special.                                                    --- Preciso de todos, repito: todos para perseguirem o Escolhido.
The tunnel's that way.                                                                --- O túnel é por ali.
Oh, boy!                                                                              --- Valha-me Deus.
Oh, sir, you're brilliant.                                                            --- O Emmet é incrível.
- We'll build a motorcycle out of the alleyway.                                       --- Nós construímos uma mota na ruela.
- Ow.                                                                                 --- 
Oh.                                                                                   --- 
So, uh, didn't catch your name... or anything about what you're, uh, up to.           --- Não sei como te chamas ou o que é que estás a fazer.
Or what we're doing here.                                                             --- Ou o que fazemos aqui.
It's brilliant, sir, that you pretended to be a useless nobody... but you can drop the act with me. --- Não sei como te chamas ou o que é que estás a fazer.
It's cool.                                                                            --- Não faz mal.
Oh, the act.                                                                          --- Deixar de fingir.
Whoa.                                                                                 --- Deixar de fingir.
Whoa!                                                                                 --- Suba.
Jump on.                                                                              --- 
Let's go!                                                                             --- 
Hey, uh, I...                                                                         --- -Ouve, eu...
Hang on, sir.                                                                         --- -Segure-se.
All units... cut him off on Elm, now!                                                 --- A todas as unidades, cortem-lhes o caminho na Elm, já!
Or whenever you can.                                                                  --- Ou quando puderem.
10-4, Bad Cop.                                                                        --- Afirmativo, Polícia Mau.
- Watch out!                                                                          --- -Cuidado!
- Hold on.                                                                            --- -Segure-se.
We need to meet up with Vitruvius...  - ...and tell him the Piece has been found.     --- 
Uh-huh. They're up on the monorail.                                                   --- Eles estão no mono carril.
Release the copper choppers.                                                          --- Soltem os polícia-helicópteros.
Oh, no!                                                                               --- Não!
Will you please tell me what is happening?                                            --- Podias explicar-me o que se passa?
I'm rescuing you, sir.                                                                --- Estou a salvá-lo.
You're the one the prophecy spoke of.                                                 --- É de si que a profecia fala.
